Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1376314846;	4;	10399.997508;	10611.464123996002;	102.03333333333335;	1.6347136E7;	8981400.8;	0.0;	0.13333333333333333;	0.0;	0.4
1376315146;	4;	10399.997508;	10616.664122750002;	102.08333333333334;	1.6347136E7;	4708803.2;	0.0;	0.13333333333333333;	0.0;	0.4
1376315446;	4;	10399.997508;	10542.130807276;	101.36666666666666;	1.6347136E7;	2125112.0;	0.0;	0.26666666666666666;	0.0;	0.26666666666666666
1376315746;	4;	10399.997508;	10595.864127734001;	101.88333333333334;	1.6347136E7;	1543502.9333333333;	0.0;	2.2;	0.4666666666666667;	81.86666666666666
1376316046;	4;	10399.997508;	5479.065353798;	52.68333333333333;	1.6347136E7;	1.07709712E7;	0.0;	2.1333333333333333;	0.8;	41.733333333333334
1376316346;	4;	10399.997508;	3296.799210036;	31.7;	1.6347136E7;	3825203.2;	0.0;	57.6;	40.46666666666667;	42.266666666666666
1376316646;	4;	10399.997508;	6893.465014886;	66.28333333333333;	1.6347136E7;	1610611.2;	0.0;	57.666666666666664;	40.6;	1.4666666666666666
1376316946;	4;	10399.997508;	4489.332257620001;	43.16666666666667;	1.6347136E7;	4317335.733333333;	135.73333333333332;	23.6;	0.06666666666666667;	1.2666666666666666
1376317246;	4;	10399.997508;	97.066643408;	0.9333333333333332;	1.6347136E7;	3456104.533333333;	0.0;	2.2666666666666666;	0.4;	0.7333333333333333
1376317546;	4;	10399.997508;	88.399978818;	0.85;	1.6347136E7;	794120.8;	31.133333333333333;	4.666666666666667;	0.0;	0.8666666666666667
1376317846;	4;	10399.997508;	76.266648392;	0.7333333333333333;	1.6347136E7;	290804.8;	0.0;	1.3333333333333333;	0.0;	1.0
1376318146;	4;	10399.997508;	58.933319211999994;	0.5666666666666667;	1.6347136E7;	190141.6;	0.0;	0.0;	0.0;	1.0
1376318446;	4;	10399.997508;	51.99998754;	0.5;	1.6347136E7;	0.0;	0.0;	0.13333333333333333;	1.2666666666666666;	1.0
1376318746;	4;	10399.997508;	4341.99895959;	41.75;	1.6347136E7;	1118480.0;	2.8;	100.93333333333334;	72.73333333333333;	1.8
1376319046;	4;	10399.997508;	10587.197463144;	101.8;	1.6347136E7;	6543111.466666667;	0.0;	1.4666666666666666;	0.06666666666666667;	0.4
1376319346;	4;	10399.997508;	10609.730791078;	102.01666666666667;	1.6347136E7;	7605669.6;	0.0;	1.0666666666666667;	0.13333333333333333;	0.4666666666666667
1376319646;	4;	10399.997508;	10630.530786094;	102.21666666666665;	1.6347136E7;	4004160.0;	0.0;	0.13333333333333333;	0.0;	0.13333333333333333
1376319946;	4;	10399.997508;	10042.930926891999;	96.56666666666666;	1.6347136E7;	4708804.0;	0.0;	40.666666666666664;	0.2;	41.266666666666666
1376320246;	4;	10399.997508;	2509.8660652640006;	24.133333333333336;	1.6347136E7;	9797892.0;	2.8666666666666667;	6.533333333333333;	1.3333333333333333;	124.13333333333334
1376320546;	4;	10399.997508;	5969.598569592;	57.4;	1.6347136E7;	3523212.8;	0.0;	98.26666666666667;	72.6;	1.4
1376320846;	4;	10399.997508;	10561.197469374;	101.55;	1.6347136E7;	7102353.066666666;	0.0;	0.6666666666666666;	0.26666666666666666;	0.4
1376321146;	4;	10399.997508;	10628.797453176;	102.2;	1.6347136E7;	7091168.533333333;	0.0;	0.26666666666666666;	0.0;	0.4
