Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1378285439;	0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0
1378285739;	0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0
1378286039;	0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0
1378286339;	0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0
1378286639;	0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0
1378286939;	0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0
1378287239;	32;	86399.972;	1316.2495734375;	1.5234375;	6246912.0;	4.02653184E8;	405.6666666666667;	0.0;	0.0;	0.0
1378287539;	32;	86399.972;	3094.1989972499996;	3.58125;	8777989.866666667;	2.995739672E8;	1161.3333333333335;	467.1333333333333;	64.66666666666667;	5.0
1378287839;	32;	86399.972;	2856.59907425;	3.30625;	9138176.0;	7.19407E7;	2.6;	41.333333333333336;	6.133333333333334;	3.4
1378288139;	32;	86399.972;	2451.5992054999997;	2.8375;	9138176.0;	1.07374168E7;	0.6;	9.466666666666665;	4.266666666666667;	0.0
1378288439;	32;	86399.972;	2908.799057333333;	3.3666666666666667;	9158246.4;	0.0;	0.0;	35.6;	7.933333333333334;	2.8666666666666667
1378288739;	32;	86399.972;	2699.999125;	3.125;	9176678.4;	0.0;	5.6;	175.4;	35.06666666666667;	1.8666666666666667
1378289039;	32;	86399.972;	3619.7988269166667;	4.189583333333333;	9183232.0;	0.0;	31.666666666666668;	60.86666666666667;	13.2;	7.666666666666667
1378289340;	32;	86399.972;	2750.3991086666665;	3.183333333333333;	9183232.0;	0.0;	0.06666666666666667;	32.46666666666667;	7.8;	2.466666666666667
1378289640;	32;	86399.972;	3203.998961666666;	3.708333333333333;	9588462.933333334;	0.0;	7.4;	5023.8;	2078.4666666666667;	49.06666666666667
1378289940;	32;	86399.972;	3470.3988753333333;	4.016666666666667;	1.1779140266666668E7;	6084535.733333333;	0.0;	752.6666666666667;	10.466666666666667;	5.133333333333334
1378290240;	32;	86399.972;	2438.999209583333;	2.822916666666667;	1.1782144E7;	1431655.4666666666;	0.0;	15.066666666666666;	4.066666666666666;	0.06666666666666667
1378290540;	32;	86399.972;	2420.999215416666;	2.802083333333333;	1.1782144E7;	0.0;	0.0;	13.6;	4.2;	0.0
1378290840;	32;	86399.972;	2426.399213666666;	2.808333333333333;	1.1782144E7;	0.0;	0.0;	13.733333333333333;	4.066666666666666;	0.0
1378291140;	32;	86399.972;	2453.3992049166663;	2.839583333333333;	1.1782144E7;	0.0;	0.5333333333333333;	25.666666666666668;	10.933333333333334;	0.13333333333333333
1378291440;	32;	86399.972;	2424.59921425;	2.80625;	1.1782144E7;	0.0;	0.3333333333333333;	13.8;	4.066666666666666;	0.0
1378291740;	32;	86399.972;	4098.59867175;	4.74375;	1.2111610933333334E7;	0.0;	1826.5333333333333;	3241.3999999999996;	450.06666666666666;	15.133333333333333
1378292040;	32;	86399.972;	3331.7989202500003;	3.85625;	1.2447744E7;	0.0;	50.333333333333336;	49.46666666666667;	7.066666666666666;	2.0
1378292340;	32;	86399.972;	2919.5990538333335;	3.379166666666667;	1.2447744E7;	0.0;	0.0;	37.800000000000004;	8.466666666666667;	3.1333333333333333
1378292640;	32;	86399.972;	2422.7992148333333;	2.8041666666666667;	1.2447744E7;	0.0;	0.0;	13.266666666666666;	3.4;	0.0
1378292940;	32;	86399.972;	2431.7992119166665;	2.814583333333333;	1.2447744E7;	0.0;	0.0;	12.8;	3.466666666666667;	0.0
1378293240;	32;	86399.972;	2437.1992101666665;	2.8208333333333333;	1.2447744E7;	0.0;	0.0;	12.666666666666668;	3.4;	0.0
1378293540;	32;	86399.972;	2422.7992148333333;	2.8041666666666667;	1.2447744E7;	0.0;	0.0;	12.399999999999999;	3.3333333333333335;	0.0
1378293840;	32;	86399.972;	2417.399216583334;	2.797916666666667;	1.2447744E7;	0.0;	0.0;	12.666666666666668;	3.466666666666667;	0.0
1378294140;	32;	86399.972;	2422.7992148333333;	2.8041666666666667;	1.2447744E7;	0.0;	0.0;	12.399999999999999;	3.466666666666667;	0.0
1378294440;	32;	86399.972;	2422.7992148333333;	2.8041666666666667;	1.2447744E7;	0.0;	0.0;	12.400000000000002;	3.466666666666667;	0.0
1378294740;	32;	86399.972;	2453.3992049166663;	2.839583333333333;	1.2447744E7;	0.0;	0.0;	17.733333333333334;	3.6666666666666665;	0.06666666666666667
1378295040;	32;	86399.972;	2492.999192083333;	2.885416666666667;	1.2447744E7;	0.0;	0.0;	22.133333333333333;	4.4;	0.7333333333333333
1378295340;	32;	86399.972;	2422.7992148333333;	2.8041666666666667;	1.2447744E7;	0.0;	0.0;	12.466666666666667;	45.6;	1.6666666666666667
1378295640;	32;	86399.972;	2429.9992125;	2.8125;	1.2447744E7;	0.0;	0.0;	7.466666666666667;	3.0;	0.0
1378295940;	32;	86399.972;	2784.5990975833333;	3.222916666666667;	1.2447744E7;	0.0;	0.0;	24.266666666666666;	5.333333333333333;	2.066666666666667
1378296240;	32;	86399.972;	2858.3990736666665;	3.308333333333333;	1.2447744E7;	0.0;	0.0;	60.199999999999996;	174.33333333333334;	143.0
1378296540;	32;	86399.972;	2908.799057333333;	3.3666666666666667;	1.3056955733333332E7;	0.0;	0.06666666666666667;	55.93333333333334;	1123.9333333333334;	161.46666666666667
1378296840;	32;	86399.972;	2663.999136666666;	3.083333333333333;	1.37351168E7;	0.0;	0.0;	55.2;	91.26666666666667;	93.66666666666667
1378297140;	32;	86399.972;	3313.7989260833333;	3.8354166666666667;	1.4578346666666666E7;	0.0;	0.06666666666666667;	44.33333333333333;	8035.8;	9866.4
1378297441;	32;	86399.972;	3911.3987324166665;	4.527083333333334;	2.0840721066666666E7;	0.0;	0.0;	21.133333333333333;	8020.733333333334;	23578.333333333332
1378297741;	32;	86399.972;	2444.3992078333335;	2.829166666666667;	2.3400448E7;	0.0;	0.0;	6.333333333333334;	3.1333333333333333;	0.2
1378298041;	32;	86399.972;	2444.3992078333335;	2.829166666666667;	2.3400448E7;	0.0;	0.0;	7.466666666666667;	3.1333333333333333;	0.26666666666666666
1378298341;	32;	86399.972;	2762.999104583333;	3.197916666666667;	2.3743965866666667E7;	0.0;	0.0;	15.666666666666666;	83.46666666666667;	19.866666666666667
1378298641;	32;	86399.972;	2449.799206083333;	2.8354166666666667;	2.40771072E7;	0.0;	0.0;	7.666666666666666;	4.2;	1.0666666666666667
1378298941;	32;	86399.972;	2455.199204333333;	2.841666666666667;	2.40832512E7;	0.0;	0.0;	7.6;	4.133333333333334;	1.2
1378299241;	32;	86399.972;	2456.9992037499997;	2.84375;	2.40922624E7;	0.0;	0.0;	8.0;	4.2;	1.2
1378299541;	32;	86399.972;	2447.999206666666;	2.833333333333333;	2.4098133333333332E7;	0.0;	0.0;	7.933333333333334;	4.133333333333334;	1.2
1378299841;	32;	86399.972;	2447.999206666666;	2.833333333333333;	2.41119232E7;	0.0;	0.0;	8.733333333333334;	4.4;	1.2
1378300141;	32;	86399.972;	2453.3992049166663;	2.839583333333333;	2.41180672E7;	0.0;	0.0;	7.866666666666666;	4.2;	1.1333333333333333
1378300441;	32;	86399.972;	2429.9992125;	2.8125;	2.41258496E7;	0.0;	0.0;	8.266666666666666;	4.266666666666667;	1.0666666666666667
1378300741;	32;	86399.972;	2446.1992072499997;	2.83125;	2.41311744E7;	0.0;	0.0;	7.933333333333334;	4.333333333333333;	1.0666666666666667
