Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1376314846;	4;	11703.99824;	1117.73183192;	9.55;	8388608.0;	1375728.8;	0.0;	6.866666666666666;	3341.266666666667;	19.0
1376315146;	4;	11703.99824;	1088.4718363200002;	9.3;	8388608.0;	1582648.5333333334;	0.0;	7.2;	3180.3333333333335;	17.866666666666667
1376315446;	4;	11703.99824;	1041.65584336;	8.9;	8388608.0;	1577055.2;	0.0;	6.333333333333333;	3016.0666666666666;	17.666666666666668
1376315746;	4;	11703.99824;	1053.3598416;	9.0;	8388608.0;	1459615.2;	0.0;	6.6;	2912.9333333333334;	17.066666666666666
1376316046;	4;	11703.99824;	1068.9651725866668;	9.133333333333333;	8388608.0;	1476392.8;	0.0;	6.933333333333334;	3164.4;	18.333333333333332
1376316346;	4;	11703.99824;	1068.9651725866668;	9.133333333333333;	8388608.0;	1392507.2;	0.0;	6.933333333333334;	3131.6;	17.933333333333334
1376316646;	4;	11703.99824;	1049.4585088533336;	8.966666666666667;	8388608.0;	1660941.6;	0.0;	6.4;	3188.866666666667;	18.666666666666668
1376316946;	4;	11703.99824;	1061.1625070933335;	9.066666666666666;	8388608.0;	1509947.2;	0.0;	6.466666666666667;	3117.866666666667;	18.2
1376317246;	4;	11703.99824;	1092.3731690666668;	9.333333333333334;	8388608.0;	1560278.4;	0.0;	7.466666666666667;	3182.4;	18.4
1376317546;	4;	11703.99824;	1068.9651725866668;	9.133333333333333;	8388608.0;	1342174.4;	0.0;	6.733333333333333;	3187.9333333333334;	18.6
1376317846;	4;	11703.99824;	1078.7185044533335;	9.216666666666667;	8388608.0;	1660941.6;	0.0;	6.866666666666666;	3138.133333333333;	18.2
1376318146;	4;	11703.99824;	1107.9785000533334;	9.466666666666667;	8388608.0;	1509946.4;	0.0;	6.266666666666667;	3175.9333333333334;	18.333333333333332
1376318446;	4;	11703.99824;	1065.06383984;	9.1;	8388608.0;	1476392.8;	0.0;	6.466666666666667;	3154.9333333333334;	18.533333333333335
1376318746;	4;	11703.99824;	1096.2745018133335;	9.366666666666667;	8388608.0;	1247104.2666666666;	0.0;	6.533333333333333;	3155.6;	18.266666666666666
1376319046;	4;	11703.99824;	1102.1265009333333;	9.416666666666666;	8388608.0;	1409284.8;	0.0;	6.933333333333334;	3192.6;	18.733333333333334
1376319346;	4;	11703.99824;	1098.2251681866667;	9.383333333333333;	8388608.0;	1375729.6;	0.0;	7.866666666666666;	3200.133333333333;	18.733333333333334
1376319646;	4;	11703.99824;	1096.2745018133335;	9.366666666666667;	8388608.0;	1509947.2;	0.0;	6.133333333333334;	3232.733333333333;	18.333333333333332
1376319946;	4;	11703.99824;	1125.5344974133334;	9.616666666666667;	8388608.0;	1375729.6;	0.0;	6.4;	3188.6666666666665;	18.4
1376320246;	4;	11703.99824;	1090.4225026933334;	9.316666666666666;	8388608.0;	1543501.6;	0.0;	6.8;	3091.6;	18.266666666666666
1376320546;	4;	11703.99824;	1055.3105079733332;	9.016666666666666;	8388608.0;	1509947.2;	0.0;	6.533333333333333;	3194.3333333333335;	18.533333333333335
1376320846;	4;	11703.99824;	1051.4091752266668;	8.983333333333334;	8388608.0;	1263881.0666666667;	0.0;	6.4;	2913.266666666667;	16.933333333333334
1376321146;	4;	11703.99824;	1059.2118407200003;	9.05;	8388608.0;	1398098.4;	0.0;	6.666666666666667;	3102.866666666667;	17.933333333333334
1376321446;	4;	11703.99824;	1074.8171717066666;	9.183333333333334;	8388608.0;	1442838.4;	0.0;	6.733333333333333;	3312.2;	18.933333333333334
1376321746;	4;	11703.99824;	1092.3731690666668;	9.333333333333334;	8388608.0;	1509946.4;	0.0;	6.2;	3304.0;	19.066666666666666
1376322046;	4;	11703.99824;	1078.7185044533335;	9.216666666666667;	8388608.0;	1409284.0;	0.0;	7.2;	3065.8;	17.866666666666667
1376322346;	4;	11703.99824;	1086.5211699466668;	9.283333333333333;	8388608.0;	1174403.2;	0.0;	6.4;	2966.2;	17.266666666666666
1376322647;	4;	11703.99824;	1076.7678380799998;	9.2;	8388608.0;	1660942.4;	0.0;	6.0;	3155.9333333333334;	18.266666666666666
1376322947;	4;	11703.99824;	1082.6198372000001;	9.25;	8388608.0;	1593832.8;	0.0;	7.133333333333334;	3215.8;	18.866666666666667
1376323247;	4;	11703.99824;	1104.0771673066668;	9.433333333333334;	8388608.0;	1224733.6;	0.0;	6.666666666666667;	3235.4666666666667;	18.066666666666666
1376323547;	4;	11703.99824;	1096.2745018133335;	9.366666666666667;	8388608.0;	1291843.4666666666;	0.0;	6.4;	3228.0;	18.333333333333332
1376323847;	4;	11703.99824;	1045.5571761066667;	8.933333333333334;	8388608.0;	1532316.2666666666;	0.0;	5.933333333333334;	3144.4666666666667;	17.2
1376324147;	4;	11703.99824;	1059.2118407200003;	9.05;	8388608.0;	1325397.8666666667;	0.0;	6.066666666666666;	3205.6666666666665;	18.0
1376324447;	4;	11703.99824;	1055.3105079733332;	9.016666666666666;	8388608.0;	1409283.2;	0.0;	6.4;	3191.2;	18.066666666666666
1376324747;	4;	11703.99824;	1041.65584336;	8.9;	8388608.0;	1314213.3333333333;	0.0;	6.866666666666666;	3064.3333333333335;	17.266666666666666
1376325047;	4;	11703.99824;	1084.5705035733333;	9.266666666666666;	8388608.0;	1454022.9333333333;	0.0;	7.4;	3150.4;	17.4
1376325347;	4;	11703.99824;	1127.4851637866666;	9.633333333333333;	8388608.0;	1800751.7333333334;	0.0;	6.8;	3167.733333333333;	18.866666666666667
1376325647;	4;	11703.99824;	1076.7678380799998;	9.2;	8388608.0;	1610609.8666666667;	0.0;	7.733333333333333;	3175.733333333333;	18.133333333333333
1376325947;	4;	11703.99824;	1078.7185044533335;	9.216666666666667;	8388608.0;	1560278.4;	0.0;	6.6;	2787.866666666667;	16.333333333333332
1376326247;	4;	11703.99824;	1123.5838310400002;	9.6;	8388608.0;	1342175.2;	0.0;	6.666666666666667;	3154.733333333333;	18.133333333333333
1376326547;	4;	11703.99824;	1106.02783368;	9.45;	8388608.0;	1409283.2;	0.0;	6.733333333333333;	3235.6666666666665;	18.8
1376326847;	4;	11703.99824;	1111.8798328000003;	9.5;	8388608.0;	1465207.4666666666;	0.0;	6.866666666666666;	3202.2;	18.6
1376327147;	4;	11703.99824;	1104.0771673066668;	9.433333333333334;	8388608.0;	1392506.4;	0.0;	6.333333333333333;	3209.4666666666667;	18.533333333333335
1376327447;	4;	11703.99824;	1072.8665053333334;	9.166666666666666;	8388608.0;	1509947.2;	0.0;	6.466666666666667;	3148.9333333333334;	17.8
1376327747;	4;	11703.99824;	1096.2745018133335;	9.366666666666667;	8388608.0;	1342174.4;	0.0;	6.4;	3164.0;	18.266666666666666
1376328047;	4;	11703.99824;	1078.7185044533335;	9.216666666666667;	8388608.0;	1353360.8;	0.0;	6.2;	3110.733333333333;	16.866666666666667
1376328347;	4;	11703.99824;	1084.5705035733333;	9.266666666666666;	8388608.0;	1426061.3333333333;	0.0;	6.0;	3190.4666666666667;	16.866666666666667
1376328647;	4;	11703.99824;	1084.5705035733333;	9.266666666666666;	8388608.0;	1409283.2;	0.0;	6.533333333333333;	3151.6666666666665;	17.0
1376328947;	4;	11703.99824;	1102.1265009333333;	9.416666666666666;	8388608.0;	1509946.6666666667;	0.0;	7.8;	3209.4666666666667;	17.0
1376329247;	4;	11703.99824;	1022.1491796266669;	8.733333333333334;	8388608.0;	1543500.8;	0.0;	6.4;	3101.5333333333333;	16.466666666666665
1376329547;	4;	11703.99824;	1127.4851637866666;	9.633333333333333;	8388608.0;	1772790.4;	0.0;	15.133333333333333;	2838.866666666667;	16.066666666666666
1376329847;	4;	11703.99824;	1086.5211699466668;	9.283333333333333;	8388608.0;	1722458.4;	0.0;	6.133333333333334;	3204.866666666667;	17.066666666666666
1376330147;	4;	11703.99824;	1096.2745018133335;	9.366666666666667;	8388608.0;	1660942.4;	0.0;	6.2;	3201.866666666667;	17.133333333333333
1376330447;	4;	11703.99824;	1096.2745018133335;	9.366666666666667;	8388608.0;	1426061.3333333333;	0.0;	6.8;	3157.6;	16.933333333333334
1376330747;	4;	11703.99824;	1135.28782928;	9.7;	8388608.0;	1504354.6666666667;	0.0;	6.866666666666666;	3198.266666666667;	17.266666666666666
1376331047;	4;	11703.99824;	1047.50784248;	8.95;	8388608.0;	1330990.1333333333;	0.0;	6.933333333333334;	3182.6;	16.866666666666667
1376331347;	4;	11703.99824;	1070.9158389600002;	9.15;	8388608.0;	1280658.6666666667;	0.0;	5.933333333333334;	3157.6666666666665;	16.733333333333334
1376331647;	4;	11703.99824;	1131.3864965333335;	9.666666666666666;	8388608.0;	1454022.9333333333;	0.0;	6.666666666666667;	3306.866666666667;	17.333333333333332
1376331947;	4;	11703.99824;	1061.1625070933335;	9.066666666666666;	8388608.0;	1632979.2;	0.0;	6.333333333333333;	3111.8;	16.066666666666666
1376332247;	4;	11703.99824;	1074.8171717066666;	9.183333333333334;	8388608.0;	1817528.8;	0.0;	6.4;	3216.133333333333;	16.933333333333334
1376332547;	4;	11703.99824;	1086.5211699466668;	9.283333333333333;	8388608.0;	1543501.6;	0.0;	7.0;	3162.866666666667;	16.4
1376332847;	4;	11703.99824;	1063.1131734666667;	9.083333333333334;	8388608.0;	1627387.4666666666;	0.0;	6.2;	2996.0666666666666;	15.866666666666667
1376333147;	4;	11703.99824;	1111.8798328000003;	9.5;	8388608.0;	1694496.8;	0.0;	7.466666666666667;	3070.4666666666667;	17.8
1376333447;	4;	11703.99824;	1106.02783368;	9.45;	8388608.0;	1420468.5333333334;	0.0;	6.666666666666667;	3261.866666666667;	18.733333333333334
1376333747;	4;	11703.99824;	1094.32383544;	9.35;	8388608.0;	1593832.8;	0.0;	6.733333333333333;	3104.9333333333334;	18.0
1376334047;	4;	11703.99824;	1109.9291664266668;	9.483333333333334;	8388608.0;	1442838.4;	0.0;	6.4;	3121.0;	18.0
1376334347;	4;	11703.99824;	1086.5211699466668;	9.283333333333333;	8388608.0;	1537909.0666666667;	0.0;	6.666666666666667;	3202.6;	18.4
1376334647;	4;	11703.99824;	1098.2251681866667;	9.383333333333333;	8388608.0;	1481985.3333333333;	0.0;	6.666666666666667;	3224.866666666667;	19.066666666666666
1376334947;	4;	11703.99824;	1094.32383544;	9.35;	8388608.0;	1733643.2;	0.0;	7.733333333333333;	3154.733333333333;	18.933333333333334
1376335247;	4;	11703.99824;	1113.8304991733332;	9.516666666666666;	8388608.0;	1504354.1333333333;	0.0;	6.6;	3264.8;	19.2
1376335547;	4;	11703.99824;	1088.4718363200002;	9.3;	8388608.0;	1420468.2666666666;	0.0;	6.0;	3158.266666666667;	18.733333333333334
1376335847;	4;	11703.99824;	1104.0771673066668;	9.433333333333334;	8388608.0;	1756012.5333333334;	0.0;	7.933333333333334;	3132.733333333333;	18.933333333333334
1376336147;	4;	11703.99824;	1037.7545106133334;	8.866666666666667;	8388608.0;	1532316.0;	0.0;	6.2;	3145.0;	18.333333333333332
1376336447;	4;	11703.99824;	1074.8171717066666;	9.183333333333334;	8388608.0;	1370136.8;	0.0;	6.333333333333333;	3036.9333333333334;	17.8
1376336747;	4;	11703.99824;	1115.7811655466667;	9.533333333333333;	8388608.0;	1487577.8666666667;	0.0;	6.066666666666666;	3203.9333333333334;	18.733333333333334
1376337047;	4;	11703.99824;	1102.1265009333333;	9.416666666666666;	8388608.0;	1330991.2;	0.0;	6.533333333333333;	3182.866666666667;	18.6
1376337347;	4;	11703.99824;	1088.4718363200002;	9.3;	8388608.0;	1476392.8;	0.0;	5.4;	2944.133333333333;	16.266666666666666
1376337647;	4;	11703.99824;	1102.1265009333333;	9.416666666666666;	8388608.0;	1163218.1333333333;	0.0;	6.066666666666666;	3191.6;	17.2
1376337947;	4;	11703.99824;	1067.0145062133336;	9.116666666666667;	8388608.0;	1521131.4666666666;	0.0;	6.8;	3128.0;	16.933333333333334
1376338248;	4;	11703.99824;	1088.4718363200002;	9.3;	8388608.0;	1638571.7333333334;	8.4;	9.2;	3183.266666666667;	17.066666666666666
1376338548;	4;	11703.99824;	1096.2745018133335;	9.366666666666667;	8388608.0;	1381321.6;	0.0;	7.133333333333334;	3255.866666666667;	17.666666666666668
1376338848;	4;	11703.99824;	1094.32383544;	9.35;	8388608.0;	1616203.2;	0.0;	6.4;	3137.8;	17.133333333333333
1376339148;	4;	11703.99824;	1100.17583456;	9.4;	8388608.0;	1370137.6;	0.0;	6.133333333333334;	3206.866666666667;	17.4
1376339448;	4;	11703.99824;	1061.1625070933335;	9.066666666666666;	8388608.0;	1526724.0;	0.0;	6.466666666666667;	3144.9333333333334;	17.2
1376339748;	4;	11703.99824;	1051.4091752266668;	8.983333333333334;	8388608.0;	1280658.4;	0.0;	5.8;	3092.6666666666665;	16.733333333333334
1376340048;	4;	11703.99824;	1074.8171717066666;	9.183333333333334;	8388608.0;	1370136.8;	0.0;	6.2;	3170.5333333333333;	17.266666666666666
1376340348;	4;	11703.99824;	1111.8798328000003;	9.5;	8388608.0;	1498761.8666666667;	0.0;	6.266666666666667;	3185.8;	16.733333333333334
1376340648;	4;	11703.99824;	1082.6198372000001;	9.25;	8388608.0;	1560278.4;	0.0;	6.2;	3035.3333333333335;	15.933333333333334
1376340948;	4;	11703.99824;	1121.6331646666667;	9.583333333333334;	8388608.0;	1358952.0;	0.0;	6.133333333333334;	3136.4;	16.533333333333335
1376341248;	4;	11703.99824;	1076.7678380799998;	9.2;	8388608.0;	1263881.0666666667;	0.0;	6.733333333333333;	3226.0;	17.133333333333333
1376341548;	4;	11703.99824;	1082.6198372000001;	9.25;	8388608.0;	1291843.4666666666;	0.0;	6.8;	3173.866666666667;	16.466666666666665
1376341848;	4;	11703.99824;	1070.9158389600002;	9.15;	8388608.0;	1319805.6;	0.0;	6.733333333333333;	3175.9333333333334;	16.533333333333335
1376342148;	4;	11703.99824;	1094.32383544;	9.35;	8388608.0;	1191180.0;	0.0;	6.266666666666667;	3162.6666666666665;	16.733333333333334
1376342448;	4;	11703.99824;	1063.1131734666667;	9.083333333333334;	8388608.0;	1347768.0;	0.0;	5.733333333333333;	3171.4;	16.6
1376342748;	4;	11703.99824;	1109.9291664266668;	9.483333333333334;	8388608.0;	1426060.8;	0.0;	6.066666666666666;	3174.133333333333;	17.133333333333333
1376343048;	4;	11703.99824;	1029.9518451200001;	8.8;	8388608.0;	1660941.8666666667;	0.0;	6.666666666666667;	3130.8;	16.933333333333334
1376343348;	4;	11703.99824;	1096.2745018133335;	9.366666666666667;	8388608.0;	1588240.2666666666;	0.0;	6.333333333333333;	3117.3333333333335;	16.866666666666667
1376343648;	4;	11703.99824;	1106.02783368;	9.45;	8388608.0;	1537908.8;	0.0;	5.933333333333334;	3176.4;	16.866666666666667
