Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1376314846;	8;	20799.994552;	3092.2658567306667;	14.866666666666667;	4.07575E7;	7214201.866666666;	0.0;	0.9333333333333333;	1.2666666666666666;	2.3333333333333335
1376315146;	8;	20799.994552;	18288.395209846;	87.925;	4.07575E7;	1.6301860533333333E7;	2.6666666666666665;	2.4;	733.0;	13.933333333333334
1376315446;	8;	20799.994552;	17783.995341960002;	85.5;	4.07575E7;	1.2638834133333333E7;	0.0;	1.0;	0.0;	1.0
1376315746;	8;	20799.994552;	15521.99593443;	74.625;	4.07575E7;	7074390.666666667;	0.0;	1.0666666666666667;	1.2;	2.3333333333333335
1376316046;	8;	20799.994552;	13722.796405681998;	65.975;	4.07575E7;	5676289.333333333;	0.0;	8.4;	1.5333333333333334;	2.533333333333333
1376316346;	8;	20799.994552;	11996.396857866;	57.675;	4.07575E7;	5368708.0;	0.0;	1.3333333333333333;	0.0;	1.0
1376316646;	8;	20799.994552;	8300.931159127333;	39.90833333333333;	4.07575E7;	6934580.533333333;	0.0;	1.0666666666666667;	2.533333333333333;	3.6666666666666665
1376316946;	8;	20799.994552;	4633.198786458;	22.275;	4.07575E7;	5788138.4;	0.0;	1.1333333333333333;	1.2666666666666666;	2.3333333333333335
1376317246;	8;	20799.994552;	3087.0658580926665;	14.841666666666667;	4.07575E7;	3355441.6;	0.0;	1.2;	0.0;	1.0
1376317546;	8;	20799.994552;	3821.99899893;	18.375;	4.07575E7;	3523213.6;	2.6;	2.6;	406.6666666666667;	9.333333333333334
1376317846;	8;	20799.994552;	20271.328023803337;	97.45833333333334;	4.07575E7;	1.31980744E7;	0.0;	1.3333333333333333;	4.933333333333334;	5.0
1376318146;	8;	20799.994552;	13667.329753543332;	65.70833333333333;	4.07575E7;	1.3281961333333334E7;	0.13333333333333333;	3.2;	1.4;	3.0
1376318446;	8;	20799.994552;	10831.597162954002;	52.075;	4.07575E7;	8220834.4;	0.06666666666666667;	1.1333333333333333;	1.2666666666666666;	2.3333333333333335
1376318746;	8;	20799.994552;	7125.731466939333;	34.25833333333333;	4.07575E7;	6403302.4;	0.0;	1.2666666666666666;	1.2666666666666666;	2.3333333333333335
1376319046;	8;	20799.994552;	3466.665758666667;	16.666666666666668;	4.07575E7;	4893353.333333333;	0.0;	1.6;	2.533333333333333;	3.6666666666666665
1376319346;	8;	20799.994552;	3031.599205954;	14.575;	4.07575E7;	6654961.066666666;	2.6;	2.6666666666666665;	399.3333333333333;	7.4
1376319646;	8;	20799.994552;	268.6665962966666;	1.2916666666666665;	4.07575E7;	6067758.133333334;	0.0;	1.2666666666666666;	0.0;	1.0
1376319946;	8;	20799.994552;	14795.729457989333;	71.13333333333333;	4.07575E7;	1.0457796266666668E7;	2.6666666666666665;	2.2;	439.6;	11.0
1376320246;	8;	20799.994552;	15362.529309531334;	73.85833333333333;	4.07575E7;	1.42606328E7;	0.0;	1.1333333333333333;	67.26666666666667;	78.13333333333334
1376320546;	8;	20799.994552;	11973.863530434668;	57.56666666666667;	4.07575E7;	7298087.2;	0.0;	1.3333333333333333;	0.0;	1.0
1376320846;	8;	20799.994552;	11977.330196193334;	57.58333333333333;	4.07575E7;	4026531.2;	0.0;	1.2666666666666666;	0.0;	1.0
1376321146;	8;	20799.994552;	11431.330339203332;	54.95833333333333;	4.07575E7;	3271555.2;	0.0;	0.9333333333333333;	1.2666666666666666;	2.3333333333333335
1376321446;	8;	20799.994552;	7916.131259915334;	38.05833333333334;	4.07575E7;	5061125.6;	0.0;	1.0;	2.533333333333333;	3.6666666666666665
1376321746;	8;	20799.994552;	1251.4663388786666;	6.016666666666667;	4.07575E7;	7409934.666666667;	0.0;	3.0;	1.3333333333333333;	2.8666666666666667
1376322046;	8;	20799.994552;	100.53330700133334;	0.48333333333333334;	4.07575E7;	3131745.066666667;	0.0;	8.333333333333334;	0.2;	1.1333333333333333
1376322346;	8;	20799.994552;	93.59997548400001;	0.45;	4.07575E7;	419429.06666666665;	0.0;	1.3333333333333333;	0.6;	1.6
1376322647;	8;	20799.994552;	90.13330972533333;	0.43333333333333335;	4.07575E7;	0.0;	0.0;	0.8666666666666667;	0.0;	1.0
1376322947;	8;	20799.994552;	93.59997548400001;	0.45;	4.07575E7;	0.0;	0.0;	1.1333333333333333;	0.0;	1.0
1376323247;	8;	20799.994552;	97.06664124266666;	0.4666666666666666;	4.07575E7;	0.0;	0.0;	1.0666666666666667;	0.0;	1.0
1376323547;	8;	20799.994552;	95.33330836333334;	0.45833333333333337;	4.07575E7;	0.0;	0.0;	1.3333333333333333;	0.0;	1.0
1376323847;	8;	20799.994552;	77.99997957;	0.375;	4.07575E7;	0.0;	0.0;	1.0;	0.0;	1.0
1376324147;	8;	20799.994552;	84.93331108733335;	0.4083333333333334;	4.07575E7;	0.0;	0.0;	1.0666666666666667;	0.0;	1.0
1376324447;	8;	20799.994552;	83.199978208;	0.4;	4.07575E7;	167771.2;	0.0;	11.533333333333333;	0.0;	1.0
1376324747;	8;	20799.994552;	77.99997957;	0.375;	4.07575E7;	27961.866666666665;	0.0;	1.2666666666666666;	0.0;	1.0
1376325047;	8;	20799.994552;	79.73331244933334;	0.38333333333333336;	4.07575E7;	0.0;	0.0;	1.2666666666666666;	0.0;	1.0
