Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1376314846;	2;	5851.9989;	198.9679626;	3.4;	8349696.0;	402651.2;	467.93333333333334;	48.8;	1.1333333333333333;	0.8
1376315146;	2;	5851.9989;	255.5372853;	4.366666666666667;	8349696.0;	536868.8;	939.8666666666668;	65.19999999999999;	1.2;	0.06666666666666667
1376315446;	2;	5851.9989;	204.81996149999998;	3.5;	8349696.0;	603977.6;	483.5333333333333;	59.06666666666666;	1.2;	0.0
1376315746;	2;	5851.9989;	195.06662999999998;	3.333333333333333;	8349696.0;	413836.5333333333;	471.4666666666667;	47.733333333333334;	1.1333333333333333;	0.8666666666666667
1376316046;	2;	5851.9989;	222.37595819999999;	3.8;	8349696.0;	391466.6666666667;	943.5333333333333;	60.46666666666667;	1.2;	0.0
1376316346;	2;	5851.9989;	226.27729079999997;	3.8666666666666667;	8349696.0;	430613.3333333333;	515.4666666666666;	111.26666666666667;	12.133333333333333;	0.6
1376316646;	2;	5851.9989;	204.81996149999998;	3.5;	8349696.0;	419428.5333333333;	470.06666666666666;	51.86666666666667;	1.4666666666666666;	0.8
1376316946;	2;	5851.9989;	230.17862339999996;	3.933333333333333;	8349696.0;	525684.2666666667;	954.6666666666665;	66.13333333333334;	1.0666666666666667;	0.06666666666666667
1376317246;	2;	5851.9989;	212.6226267;	3.6333333333333333;	8349696.0;	480945.06666666665;	496.53333333333336;	66.53333333333333;	1.2666666666666666;	0.0
1376317546;	2;	5851.9989;	198.9679626;	3.4;	8349696.0;	357913.3333333333;	470.9333333333334;	48.06666666666666;	1.1333333333333333;	0.8666666666666667
1376317846;	2;	5851.9989;	218.47462559999997;	3.733333333333333;	8349696.0;	419428.0;	939.6666666666667;	57.4;	1.1333333333333333;	0.0
1376318146;	2;	5851.9989;	198.9679626;	3.4;	8349696.0;	458575.4666666667;	495.53333333333336;	61.33333333333333;	1.2;	0.2
1376318446;	2;	5851.9989;	197.01729629999997;	3.3666666666666667;	8349696.0;	430613.3333333333;	469.4666666666667;	48.599999999999994;	1.2;	0.8
1376318746;	2;	5851.9989;	255.5372853;	4.366666666666667;	8349696.0;	503314.93333333335;	942.4666666666667;	65.86666666666667;	1.1333333333333333;	0.06666666666666667
1376319046;	2;	5851.9989;	202.86929519999998;	3.466666666666667;	8349696.0;	564830.9333333333;	487.5333333333333;	59.2;	1.0666666666666667;	0.0
1376319346;	2;	5851.9989;	204.81996149999998;	3.5;	8349696.0;	419429.6;	473.2666666666667;	48.86666666666666;	1.0666666666666667;	0.8666666666666667
1376319646;	2;	5851.9989;	224.32662449999995;	3.833333333333333;	8349696.0;	452983.2;	919.5999999999999;	54.46666666666667;	1.2;	0.0
1376319946;	2;	5851.9989;	222.37595819999999;	3.8;	8349696.0;	480945.3333333333;	543.8000000000001;	119.73333333333333;	12.8;	0.6
1376320246;	2;	5851.9989;	195.06662999999998;	3.333333333333333;	8349696.0;	520091.73333333334;	463.4;	50.93333333333334;	1.3333333333333333;	0.8
1376320546;	2;	5851.9989;	228.2279571;	3.9;	8349696.0;	363505.06666666665;	961.5333333333333;	66.53333333333333;	1.2666666666666666;	0.06666666666666667
1376320846;	2;	5851.9989;	210.6719604;	3.6;	8349696.0;	486538.13333333336;	496.46666666666664;	66.2;	1.2666666666666666;	0.0
1376321146;	2;	5851.9989;	198.9679626;	3.4;	8349696.0;	419428.8;	465.46666666666664;	49.133333333333326;	1.2;	0.8666666666666667
1376321446;	2;	5851.9989;	214.573293;	3.666666666666667;	8349696.0;	559239.4666666667;	954.3333333333333;	59.2;	1.1333333333333333;	0.0
1376321746;	2;	5851.9989;	202.86929519999998;	3.466666666666667;	8349696.0;	615163.7333333333;	488.4666666666667;	60.4;	1.2;	0.13333333333333333
1376322046;	2;	5851.9989;	202.86929519999998;	3.466666666666667;	8349696.0;	503314.4;	461.33333333333337;	48.733333333333334;	1.1333333333333333;	0.8
1376322346;	2;	5851.9989;	257.48795160000003;	4.4;	8349696.0;	598385.3333333334;	945.8666666666668;	66.33333333333333;	1.1333333333333333;	0.06666666666666667
1376322647;	2;	5851.9989;	204.81996149999998;	3.5;	8349696.0;	570424.0;	513.6;	59.53333333333333;	1.0666666666666667;	0.0
1376322947;	2;	5851.9989;	200.91862889999996;	3.433333333333333;	8349696.0;	430613.86666666664;	485.33333333333337;	48.666666666666664;	1.1333333333333333;	0.8666666666666667
1376323247;	2;	5851.9989;	222.37595819999999;	3.8;	8349696.0;	469760.8;	1004.8666666666666;	117.53333333333333;	12.266666666666667;	0.4
1376323547;	2;	5851.9989;	214.573293;	3.666666666666667;	8349696.0;	553646.4;	507.2666666666667;	70.4;	1.4666666666666666;	0.2
1376323847;	2;	5851.9989;	193.11596369999998;	3.3;	8349696.0;	357912.0;	459.0;	49.266666666666666;	1.3333333333333333;	0.8
1376324147;	2;	5851.9989;	230.17862339999996;	3.933333333333333;	8349696.0;	520092.8;	948.9333333333332;	57.53333333333333;	1.4;	0.06666666666666667
1376324447;	2;	5851.9989;	200.91862889999996;	3.433333333333333;	8349696.0;	520092.8;	500.5333333333333;	64.0;	1.0666666666666667;	0.0
1376324747;	2;	5851.9989;	195.06662999999998;	3.333333333333333;	8349696.0;	352319.2;	464.6666666666667;	49.2;	1.2;	0.8666666666666667
1376325047;	2;	5851.9989;	212.6226267;	3.6333333333333333;	8349696.0;	520092.0;	951.6666666666667;	58.266666666666666;	1.0;	0.0
1376325347;	2;	5851.9989;	206.77062779999997;	3.533333333333333;	8349696.0;	458575.73333333334;	494.06666666666666;	60.2;	1.2666666666666666;	0.13333333333333333
1376325647;	2;	5851.9989;	200.91862889999996;	3.433333333333333;	8349696.0;	492130.13333333336;	459.6;	47.86666666666667;	1.0666666666666667;	0.8
1376325947;	2;	5851.9989;	255.5372853;	4.366666666666667;	8349696.0;	536869.8666666667;	924.0;	60.26666666666667;	1.2;	0.06666666666666667
1376326247;	2;	5851.9989;	198.9679626;	3.4;	8349696.0;	503315.2;	550.0;	64.13333333333333;	1.0;	0.0
1376326547;	2;	5851.9989;	195.06662999999998;	3.333333333333333;	8349696.0;	425021.86666666664;	503.0666666666667;	49.599999999999994;	1.1333333333333333;	0.8666666666666667
1376326847;	2;	5851.9989;	220.42529190000002;	3.766666666666667;	8349696.0;	385874.4;	1022.5333333333333;	111.6;	11.866666666666667;	0.4
1376327147;	2;	5851.9989;	220.42529190000002;	3.766666666666667;	8349696.0;	542461.3333333334;	502.93333333333334;	69.93333333333334;	1.4;	0.2
1376327447;	2;	5851.9989;	193.11596369999998;	3.3;	8349696.0;	413836.5333333333;	464.80000000000007;	49.0;	1.3333333333333333;	0.8
1376327747;	2;	5851.9989;	222.37595819999999;	3.8;	8349696.0;	564831.4666666667;	958.8;	60.8;	1.0666666666666667;	0.06666666666666667
1376328047;	2;	5851.9989;	202.86929519999998;	3.466666666666667;	8349696.0;	648717.8666666667;	494.0;	61.66666666666667;	1.2666666666666666;	0.0
1376328347;	2;	5851.9989;	204.81996149999998;	3.5;	8349696.0;	503315.2;	462.0;	48.599999999999994;	1.2;	0.8666666666666667
1376328647;	2;	5851.9989;	222.37595819999999;	3.8;	8349696.0;	425021.3333333333;	908.8;	49.2;	1.0666666666666667;	0.0
1376328947;	2;	5851.9989;	206.77062779999997;	3.533333333333333;	8349696.0;	480945.86666666664;	540.2;	69.46666666666667;	1.2;	0.13333333333333333
1376329247;	2;	5851.9989;	202.86929519999998;	3.466666666666667;	8349696.0;	525685.0666666667;	462.8;	49.4;	1.1333333333333333;	0.8
1376329547;	2;	5851.9989;	255.5372853;	4.366666666666667;	8349696.0;	458575.73333333334;	952.4;	62.93333333333334;	1.2666666666666666;	0.06666666666666667
1376329847;	2;	5851.9989;	200.91862889999996;	3.433333333333333;	8349696.0;	587201.0666666667;	497.8;	62.533333333333324;	1.0;	0.0
1376330147;	2;	5851.9989;	197.01729629999997;	3.3666666666666667;	8349696.0;	352320.26666666666;	466.4666666666667;	48.266666666666666;	1.1333333333333333;	0.8666666666666667
1376330447;	2;	5851.9989;	222.37595819999999;	3.8;	8349696.0;	391466.93333333335;	931.5333333333333;	98.4;	11.8;	0.4
1376330747;	2;	5851.9989;	208.72129410000002;	3.566666666666667;	8349696.0;	559238.9333333333;	556.8666666666667;	84.26666666666667;	1.5333333333333334;	0.2
1376331047;	2;	5851.9989;	197.01729629999997;	3.3666666666666667;	8349696.0;	419429.06666666665;	462.80000000000007;	49.733333333333334;	1.0666666666666667;	0.8
1376331347;	2;	5851.9989;	226.27729079999997;	3.8666666666666667;	8349696.0;	346727.73333333334;	918.7333333333333;	54.266666666666666;	1.6666666666666667;	0.06666666666666667
1376331647;	2;	5851.9989;	202.86929519999998;	3.466666666666667;	8349696.0;	480944.5333333333;	523.0666666666666;	68.66666666666666;	1.0;	0.0
1376331947;	2;	5851.9989;	195.06662999999998;	3.333333333333333;	8349696.0;	385874.4;	464.93333333333334;	48.266666666666666;	1.2;	0.8666666666666667
1376332247;	2;	5851.9989;	212.6226267;	3.6333333333333333;	8349696.0;	346727.73333333334;	947.2666666666667;	54.33333333333333;	1.0;	0.0
1376332547;	2;	5851.9989;	210.6719604;	3.6;	8349696.0;	419428.8;	501.40000000000003;	64.6;	1.2;	0.2
1376332847;	2;	5851.9989;	198.9679626;	3.4;	8349696.0;	391467.4666666667;	460.9333333333334;	48.266666666666666;	1.1333333333333333;	0.8
1376333147;	2;	5851.9989;	259.4386179;	4.433333333333334;	8349696.0;	564831.4666666667;	910.7333333333333;	55.53333333333333;	1.1333333333333333;	0.06666666666666667
1376333447;	2;	5851.9989;	210.6719604;	3.6;	8349696.0;	520092.8;	536.4;	68.66666666666666;	1.1333333333333333;	0.0
1376333747;	2;	5851.9989;	198.9679626;	3.4;	8349696.0;	587200.0;	463.20000000000005;	47.53333333333333;	1.0666666666666667;	0.8666666666666667
1376334047;	2;	5851.9989;	220.42529190000002;	3.766666666666667;	8349696.0;	548054.6666666666;	956.4666666666667;	106.0;	12.533333333333333;	0.4
1376334347;	2;	5851.9989;	214.573293;	3.666666666666667;	8349696.0;	587200.8;	529.3333333333334;	84.0;	1.8666666666666667;	0.2
1376334647;	2;	5851.9989;	197.01729629999997;	3.3666666666666667;	8349696.0;	385874.4;	460.20000000000005;	48.06666666666666;	1.0;	0.8
1376334947;	2;	5851.9989;	220.42529190000002;	3.766666666666667;	8349696.0;	458575.73333333334;	955.9333333333332;	63.46666666666667;	1.2666666666666666;	0.06666666666666667
1376335247;	2;	5851.9989;	198.9679626;	3.4;	8349696.0;	553647.2;	490.9333333333334;	58.733333333333334;	1.0;	0.0
1376335547;	2;	5851.9989;	197.01729629999997;	3.3666666666666667;	8349696.0;	380283.2;	464.26666666666665;	50.0;	1.2;	0.8666666666666667
1376335847;	2;	5851.9989;	218.47462559999997;	3.733333333333333;	8349696.0;	564831.4666666667;	929.5333333333333;	52.99999999999999;	1.0666666666666667;	0.0
1376336147;	2;	5851.9989;	204.81996149999998;	3.5;	8349696.0;	503314.13333333336;	512.9333333333334;	65.0;	1.2;	0.13333333333333333
1376336447;	2;	5851.9989;	208.72129410000002;	3.566666666666667;	8349696.0;	542461.3333333334;	461.06666666666666;	48.733333333333334;	1.0666666666666667;	0.8
1376336747;	2;	5851.9989;	257.48795160000003;	4.4;	8349696.0;	469760.0;	953.3333333333333;	66.13333333333333;	1.2;	0.06666666666666667
1376337047;	2;	5851.9989;	198.9679626;	3.4;	8349696.0;	520091.4666666667;	491.20000000000005;	58.8;	1.0666666666666667;	0.0
1376337347;	2;	5851.9989;	195.06662999999998;	3.333333333333333;	8349696.0;	402651.73333333334;	464.9333333333334;	48.53333333333333;	1.1333333333333333;	0.8666666666666667
1376337647;	2;	5851.9989;	247.7346201;	4.233333333333333;	8349696.0;	576015.4666666667;	1230.2666666666667;	474.3333333333333;	128.33333333333334;	4.533333333333333
1376337947;	2;	5851.9989;	298.45194389999995;	5.1;	8349696.0;	637532.8;	918.8000000000001;	620.6666666666666;	125.86666666666666;	4.6
1376338248;	2;	5851.9989;	195.06662999999998;	3.333333333333333;	8349696.0;	402652.5333333333;	445.1333333333334;	50.0;	1.4666666666666666;	0.8
1376338548;	2;	5851.9989;	228.2279571;	3.9;	8349696.0;	346727.4666666667;	940.2;	58.66666666666667;	1.8666666666666667;	0.06666666666666667
1376338848;	2;	5851.9989;	206.77062779999997;	3.533333333333333;	8349696.0;	402651.4666666667;	628.4666666666667;	184.4;	1.4666666666666666;	0.0
1376339148;	2;	5851.9989;	191.16529740000001;	3.266666666666667;	8349696.0;	464167.2;	463.2;	47.93333333333334;	1.1333333333333333;	0.8666666666666667
1376339448;	2;	5851.9989;	214.573293;	3.666666666666667;	8349696.0;	671086.6666666666;	901.3333333333335;	48.8;	1.0666666666666667;	0.0
1376339748;	2;	5851.9989;	206.77062779999997;	3.533333333333333;	8349696.0;	458576.26666666666;	533.1333333333333;	70.73333333333333;	1.2;	0.13333333333333333
1376340048;	2;	5851.9989;	193.11596369999998;	3.3;	8349696.0;	413835.73333333334;	389.5333333333333;	49.33333333333333;	0.8666666666666667;	0.8
1376340348;	2;	5851.9989;	253.58661899999996;	4.333333333333333;	8349696.0;	598385.8666666667;	954.2;	66.8;	1.2666666666666666;	0.0
1376340648;	2;	5851.9989;	198.9679626;	3.4;	8349696.0;	531277.0666666667;	491.26666666666665;	57.33333333333333;	1.0;	0.0
1376340948;	2;	5851.9989;	198.9679626;	3.4;	8349696.0;	475353.06666666665;	465.86666666666673;	50.33333333333333;	1.3333333333333333;	0.8
1376341248;	2;	5851.9989;	224.32662449999995;	3.833333333333333;	8349696.0;	413837.6;	928.5333333333333;	102.60000000000001;	12.666666666666666;	0.4
1376341548;	2;	5851.9989;	220.42529190000002;	3.766666666666667;	8349696.0;	620755.2;	553.6;	86.26666666666667;	1.4666666666666666;	0.2
1376341848;	2;	5851.9989;	200.91862889999996;	3.433333333333333;	8349696.0;	536869.6;	463.6;	52.66666666666667;	1.9333333333333333;	0.8666666666666667
1376342148;	2;	5851.9989;	236.03062229999995;	4.033333333333333;	8349696.0;	357913.06666666665;	916.0666666666666;	51.93333333333333;	1.2;	0.06666666666666667
1376342448;	2;	5851.9989;	202.86929519999998;	3.466666666666667;	8349696.0;	520092.8;	530.2;	69.13333333333333;	1.0;	0.0
1376342748;	2;	5851.9989;	200.91862889999996;	3.433333333333333;	8349696.0;	335543.2;	464.33333333333337;	50.266666666666666;	1.2666666666666666;	0.8666666666666667
1376343048;	2;	5851.9989;	216.5239593;	3.7;	8349696.0;	430614.13333333336;	924.0;	50.46666666666667;	1.0;	0.0
1376343348;	2;	5851.9989;	206.77062779999997;	3.533333333333333;	8349696.0;	536869.6;	521.8666666666667;	67.06666666666666;	1.2;	0.2
1376343648;	2;	5851.9989;	198.9679626;	3.4;	8349696.0;	369096.8;	460.20000000000005;	47.33333333333333;	1.0;	0.8
1376343948;	2;	5851.9989;	251.6359527;	4.3;	8349696.0;	391466.93333333335;	933.2666666666667;	61.46666666666667;	1.4;	0.06666666666666667
1376344248;	2;	5851.9989;	198.9679626;	3.4;	8349696.0;	637532.0;	506.73333333333335;	64.73333333333332;	1.0;	0.0
1376344548;	2;	5851.9989;	197.01729629999997;	3.3666666666666667;	8349696.0;	497722.13333333336;	465.20000000000005;	48.13333333333333;	1.1333333333333333;	0.8666666666666667
1376344848;	2;	5851.9989;	220.42529190000002;	3.766666666666667;	8349696.0;	419429.6;	931.0;	102.80000000000001;	13.0;	0.4666666666666667
1376345148;	2;	5851.9989;	214.573293;	3.666666666666667;	8349696.0;	548054.6666666666;	553.6666666666667;	85.93333333333334;	1.4;	0.13333333333333333
1376345448;	2;	5851.9989;	193.11596369999998;	3.3;	8349696.0;	637532.0;	456.6;	47.93333333333334;	1.0666666666666667;	0.8
