Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1376314846;	4;	10399.995984;	3139.0654545039997;	30.183333333333334;	1.6777216E7;	2393547.2;	10.399999999999999;	1123.2;	3876.2;	2986.866666666667
1376315146;	4;	10399.995984;	3627.8652657519997;	34.88333333333333;	1.6777216E7;	2505395.2;	15.266666666666666;	1268.5333333333333;	3490.9333333333334;	3216.6
1376315446;	4;	10399.995984;	2690.1322945279994;	25.866666666666664;	1.6777216E7;	2852124.0;	7.066666666666666;	930.9333333333334;	2655.4;	2336.0666666666666
1376315746;	4;	10399.995984;	4811.731475264;	46.26666666666667;	1.6777216E7;	3388995.2;	3.4666666666666663;	6206.333333333333;	7818.933333333333;	2173.733333333333
1376316046;	4;	10399.995984;	5414.931242336;	52.06666666666667;	1.6777216E7;	5156196.8;	2.2666666666666666;	6625.533333333333;	6478.533333333334;	2127.9333333333334
1376316346;	4;	10399.995984;	4740.664836039999;	45.58333333333333;	1.6777216E7;	5089088.0;	3.4;	3688.4666666666667;	3352.0;	2236.2
1376316646;	4;	10399.995984;	1471.5994317359998;	14.15;	1.6777216E7;	4429183.733333333;	0.2;	3253.5333333333333;	4854.533333333334;	718.4
1376316946;	4;	10399.995984;	4711.198180752;	45.3;	1.6777216E7;	4116009.3333333335;	0.3333333333333333;	5452.533333333334;	13804.466666666667;	8624.266666666666
1376317246;	4;	10399.995984;	7539.9970883999995;	72.5;	1.6777216E7;	4898946.4;	2.2666666666666666;	5235.066666666667;	31787.266666666666;	36711.4
1376317546;	4;	10399.995984;	3766.5318788719997;	36.21666666666667;	1.6777216E7;	5066718.4;	2.1333333333333333;	1594.7333333333333;	3256.2;	3913.0666666666666
1376317846;	4;	10399.995984;	2998.6655087199997;	28.833333333333336;	1.6777216E7;	3556766.933333333;	1.7333333333333334;	298.3333333333333;	19992.133333333335;	23749.933333333334
1376318146;	4;	10399.995984;	471.466484608;	4.533333333333333;	1.6777216E7;	3456103.2;	0.0;	888.5333333333333;	5.066666666666666;	3.3333333333333335
1376318446;	4;	10399.995984;	419.466504688;	4.033333333333333;	1.6777216E7;	1476393.6;	0.5333333333333333;	192.26666666666668;	119.06666666666666;	7.8
1376318746;	4;	10399.995984;	537.3331258399999;	5.166666666666666;	1.6777216E7;	1207958.4;	0.0;	886.6666666666666;	5.8;	5.333333333333333
1376319046;	4;	10399.995984;	409.06650870399994;	3.933333333333333;	1.6777216E7;	760566.4;	0.0;	10.8;	7.333333333333333;	6.333333333333333
1376319346;	4;	10399.995984;	974.132957168;	9.366666666666667;	1.6777216E7;	682272.8;	0.13333333333333333;	545.9333333333333;	10.333333333333334;	559.8
1376319646;	4;	10399.995984;	2055.7325395039998;	19.766666666666666;	1.6777216E7;	2415916.8;	0.13333333333333333;	1123.9333333333334;	1094.8666666666666;	13.2
1376319946;	4;	10399.995984;	1029.599602416;	9.9;	1.6777216E7;	1610611.2;	0.0;	544.3333333333334;	10.266666666666667;	560.1333333333333
1376320246;	4;	10399.995984;	1346.7994799279998;	12.95;	1.6777216E7;	1353360.8;	0.06666666666666667;	1389.6;	1161.6666666666667;	586.2
1376320546;	4;	10399.995984;	3206.6654284;	30.833333333333336;	1.6777216E7;	1621796.0;	0.06666666666666667;	560.1333333333333;	792.0666666666667;	1496.6666666666667
1376320846;	4;	10399.995984;	2490.7990381679997;	23.95;	1.6777216E7;	1957340.0;	0.0;	1070.6;	607.5333333333333;	799.8666666666667
1376321146;	4;	10399.995984;	1440.399443784;	13.85;	1.6777216E7;	1890231.2;	2.1333333333333333;	943.0666666666666;	1703.9333333333334;	1233.2666666666667
1376321446;	4;	10399.995984;	2008.932557576;	19.316666666666666;	1.6777216E7;	2427101.6;	0.13333333333333333;	1520.4;	800.1333333333333;	1393.0666666666666
1376321746;	4;	10399.995984;	2433.5990602559996;	23.4;	1.6777216E7;	2796200.0;	5.3999999999999995;	2289.9333333333334;	2684.5333333333333;	2822.3333333333335
1376322046;	4;	10399.995984;	1232.399524104;	11.85;	1.6777216E7;	2304068.8;	0.0;	879.0666666666666;	316.2;	291.2
1376322346;	4;	10399.995984;	3236.1320836879995;	31.116666666666664;	1.6777216E7;	1912600.8;	0.0;	573.2666666666667;	1033.2;	1083.3333333333333
1376322647;	4;	10399.995984;	2866.932226256;	27.566666666666666;	1.6777216E7;	1856676.8;	1.2;	836.4000000000001;	1232.5333333333333;	1335.6666666666667
1376322947;	4;	10399.995984;	1275.732840704;	12.266666666666667;	1.6777216E7;	2382362.4;	0.0;	918.0666666666666;	660.9333333333333;	532.8666666666667
1376323247;	4;	10399.995984;	816.399684744;	7.85;	1.6777216E7;	1744828.8;	0.06666666666666667;	71.33333333333333;	647.4666666666667;	521.2
1376323547;	4;	10399.995984;	786.933029456;	7.566666666666666;	1.6777216E7;	738196.8;	0.0;	55.199999999999996;	652.6666666666666;	524.6
1376323847;	4;	10399.995984;	738.399714864;	7.1;	1.6777216E7;	234880.8;	0.0;	53.33333333333333;	643.7333333333333;	517.0666666666667
