Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1376314846;	4;	10399.998664;	216.66663883333334;	2.0833333333333335;	1.6703488E7;	548055.2;	0.0;	11.266666666666666;	9.2;	4.533333333333333
1376315146;	4;	10399.998664;	221.86663816533334;	2.1333333333333333;	1.6703488E7;	469761.6;	0.0;	11.066666666666666;	9.066666666666666;	4.333333333333333
1376315446;	4;	10399.998664;	225.33330438666667;	2.1666666666666665;	1.6703488E7;	335544.0;	0.0;	10.866666666666667;	8.866666666666667;	4.4
1376315746;	4;	10399.998664;	214.93330572266666;	2.0666666666666664;	1.6703488E7;	234880.8;	0.0;	10.600000000000001;	8.866666666666667;	4.333333333333333
1376316046;	4;	10399.998664;	218.39997194400001;	2.1;	1.6703488E7;	335544.0;	0.0;	11.2;	8.933333333333334;	4.4
1376316346;	4;	10399.998664;	239.19996927199998;	2.3;	1.6703488E7;	760566.4;	0.0;	11.733333333333334;	9.066666666666666;	4.466666666666667
1376316646;	4;	10399.998664;	227.06663749733335;	2.1833333333333336;	1.6703488E7;	637533.6;	0.0;	10.866666666666667;	8.933333333333334;	7.466666666666667
1376316946;	4;	10399.998664;	213.19997261199998;	2.05;	1.6703488E7;	503316.0;	0.0;	10.666666666666666;	8.8;	4.266666666666667
1376317246;	4;	10399.998664;	240.93330238266665;	2.3166666666666664;	1.6703488E7;	704642.4;	0.0;	16.200000000000003;	8.866666666666667;	4.4
1376317546;	4;	10399.998664;	218.39997194400001;	2.1;	1.6703488E7;	436207.2;	0.0;	10.4;	8.6;	4.333333333333333
1376317846;	4;	10399.998664;	214.93330572266666;	2.0666666666666664;	1.6703488E7;	268435.2;	0.0;	10.6;	8.733333333333333;	4.466666666666667
1376318146;	4;	10399.998664;	223.599971276;	2.15;	1.6703488E7;	335544.0;	0.0;	10.8;	8.666666666666666;	4.4
1376318446;	4;	10399.998664;	225.33330438666667;	2.1666666666666665;	1.6703488E7;	369098.4;	0.0;	10.933333333333334;	8.866666666666667;	4.4
1376318746;	4;	10399.998664;	221.86663816533334;	2.1333333333333333;	1.6703488E7;	335544.0;	0.0;	10.666666666666666;	8.8;	4.466666666666667
1376319046;	4;	10399.998664;	220.13330505466666;	2.1166666666666667;	1.6703488E7;	268435.2;	0.0;	10.666666666666668;	8.8;	4.4
1376319346;	4;	10399.998664;	220.13330505466666;	2.1166666666666667;	1.6703488E7;	503316.0;	0.0;	10.533333333333333;	8.8;	4.4
1376319646;	4;	10399.998664;	221.86663816533334;	2.1333333333333333;	1.6703488E7;	436207.2;	0.0;	10.666666666666668;	8.733333333333333;	4.4
1376319946;	4;	10399.998664;	239.19996927199998;	2.3;	1.6703488E7;	1286252.0;	0.0;	11.466666666666667;	8.933333333333334;	4.466666666666667
1376320246;	4;	10399.998664;	220.13330505466666;	2.1166666666666667;	1.6703488E7;	1174404.0;	0.0;	10.733333333333334;	8.733333333333333;	4.4
1376320546;	4;	10399.998664;	216.66663883333334;	2.0833333333333335;	1.6703488E7;	603979.2;	0.0;	10.533333333333333;	8.733333333333333;	4.333333333333333
1376320846;	4;	10399.998664;	237.46663616133333;	2.283333333333333;	1.6703488E7;	704642.4;	0.0;	16.333333333333332;	8.8;	4.4
1376321146;	4;	10399.998664;	214.93330572266666;	2.0666666666666664;	1.6703488E7;	794120.8;	0.0;	10.666666666666668;	8.866666666666667;	4.333333333333333
1376321446;	4;	10399.998664;	221.86663816533334;	2.1333333333333333;	1.6703488E7;	436207.2;	0.0;	10.6;	8.666666666666666;	4.333333333333333
1376321746;	4;	10399.998664;	220.13330505466666;	2.1166666666666667;	1.6703488E7;	436207.2;	0.0;	10.733333333333334;	8.733333333333333;	4.4
1376322046;	4;	10399.998664;	218.39997194400001;	2.1;	1.6703488E7;	246065.6;	0.0;	10.533333333333335;	8.866666666666667;	4.4
1376322346;	4;	10399.998664;	228.79997060800005;	2.2;	1.6703488E7;	492131.2;	0.0;	10.933333333333334;	14.333333333333334;	13.066666666666666
1376322647;	4;	10399.998664;	221.86663816533334;	2.1333333333333333;	1.6703488E7;	1017816.8;	0.0;	11.133333333333333;	11.866666666666667;	7.666666666666667
1376322947;	4;	10399.998664;	218.39997194400001;	2.1;	1.6703488E7;	603979.2;	0.0;	10.733333333333334;	8.8;	4.466666666666667
1376323247;	4;	10399.998664;	266.9332990426667;	2.566666666666667;	1.6703488E7;	861229.6;	0.0;	12.266666666666667;	26.933333333333334;	25.8
1376323547;	4;	10399.998664;	249.59996793599998;	2.4;	1.6703488E7;	1319806.4;	0.0;	12.133333333333333;	10.4;	6.333333333333333
1376323847;	4;	10399.998664;	218.39997194400001;	2.1;	1.6703488E7;	827675.2;	0.0;	11.333333333333332;	9.0;	4.6
1376324147;	4;	10399.998664;	218.39997194400001;	2.1;	1.6703488E7;	514500.8;	0.0;	10.933333333333334;	8.866666666666667;	4.4
1376324447;	4;	10399.998664;	237.46663616133333;	2.283333333333333;	1.6703488E7;	436207.2;	0.0;	16.266666666666666;	8.933333333333334;	4.533333333333333
1376324747;	4;	10399.998664;	216.66663883333334;	2.0833333333333335;	1.6703488E7;	659903.2;	0.0;	10.8;	8.866666666666667;	4.466666666666667
1376325047;	4;	10399.998664;	223.599971276;	2.15;	1.6703488E7;	503316.0;	0.0;	10.533333333333335;	8.933333333333334;	5.866666666666666
1376325347;	4;	10399.998664;	218.39997194400001;	2.1;	1.6703488E7;	301989.6;	0.0;	10.733333333333334;	8.866666666666667;	4.333333333333333
1376325647;	4;	10399.998664;	216.66663883333334;	2.0833333333333335;	1.6703488E7;	279620.0;	0.0;	10.8;	8.8;	4.333333333333333
1376325947;	4;	10399.998664;	214.93330572266666;	2.0666666666666664;	1.6703488E7;	380283.2;	0.0;	10.533333333333333;	8.733333333333333;	4.4
1376326247;	4;	10399.998664;	214.93330572266666;	2.0666666666666664;	1.6703488E7;	380283.2;	0.0;	10.8;	8.8;	4.333333333333333
1376326547;	4;	10399.998664;	216.66663883333334;	2.0833333333333335;	1.6703488E7;	626348.8;	0.0;	10.666666666666668;	8.733333333333333;	4.333333333333333
1376326847;	4;	10399.998664;	216.66663883333334;	2.0833333333333335;	1.6703488E7;	324359.2;	0.0;	10.933333333333334;	8.733333333333333;	4.266666666666667
1376327147;	4;	10399.998664;	242.6666354933334;	2.3333333333333335;	1.6703488E7;	883599.2;	0.0;	11.266666666666666;	8.866666666666667;	4.4
1376327447;	4;	10399.998664;	218.39997194400001;	2.1;	1.6703488E7;	738196.8;	0.0;	10.8;	8.8;	4.4
1376327747;	4;	10399.998664;	218.39997194400001;	2.1;	1.6703488E7;	313174.4;	0.0;	10.6;	8.866666666666667;	4.333333333333333
1376328047;	4;	10399.998664;	237.46663616133333;	2.283333333333333;	1.6703488E7;	514500.8;	0.0;	15.933333333333334;	8.8;	4.333333333333333
1376328347;	4;	10399.998664;	216.66663883333334;	2.0833333333333335;	1.6703488E7;	480946.4;	0.0;	10.933333333333334;	8.8;	4.4
1376328647;	4;	10399.998664;	216.66663883333334;	2.0833333333333335;	1.6703488E7;	425022.4;	0.0;	10.666666666666668;	8.8;	4.466666666666667
1376328947;	4;	10399.998664;	214.93330572266666;	2.0666666666666664;	1.6703488E7;	246065.6;	0.0;	10.666666666666668;	8.8;	4.4
1376329247;	4;	10399.998664;	225.33330438666667;	2.1666666666666665;	1.6703488E7;	536870.4;	0.0;	10.8;	8.8;	4.2
1376329547;	4;	10399.998664;	220.13330505466666;	2.1166666666666667;	1.6703488E7;	525685.6;	0.0;	10.6;	8.8;	4.333333333333333
1376329847;	4;	10399.998664;	218.39997194400001;	2.1;	1.6703488E7;	324359.2;	0.0;	10.8;	8.666666666666666;	4.333333333333333
1376330147;	4;	10399.998664;	214.93330572266666;	2.0666666666666664;	1.6703488E7;	648718.4;	0.0;	10.6;	8.866666666666667;	4.466666666666667
1376330447;	4;	10399.998664;	216.66663883333334;	2.0833333333333335;	1.6703488E7;	425022.4;	0.0;	10.600000000000001;	8.6;	4.466666666666667
1376330747;	4;	10399.998664;	242.6666354933334;	2.3333333333333335;	1.6703488E7;	738196.8;	0.0;	11.266666666666666;	8.866666666666667;	4.4
1376331047;	4;	10399.998664;	223.599971276;	2.15;	1.6703488E7;	805305.6;	0.0;	11.0;	8.8;	4.333333333333333
1376331347;	4;	10399.998664;	218.39997194400001;	2.1;	1.6703488E7;	290804.8;	0.0;	10.533333333333333;	8.8;	4.4
1376331647;	4;	10399.998664;	235.73330305066668;	2.2666666666666666;	1.6703488E7;	458576.8;	0.0;	15.933333333333334;	8.8;	4.466666666666667
1376331947;	4;	10399.998664;	216.66663883333334;	2.0833333333333335;	1.6703488E7;	548055.2;	0.0;	10.6;	8.8;	4.466666666666667
1376332247;	4;	10399.998664;	221.86663816533334;	2.1333333333333333;	1.6703488E7;	346728.8;	0.0;	10.600000000000001;	8.8;	4.4
1376332547;	4;	10399.998664;	216.66663883333334;	2.0833333333333335;	1.6703488E7;	313174.4;	0.0;	10.8;	8.8;	4.333333333333333
1376332847;	4;	10399.998664;	223.599971276;	2.15;	1.6703488E7;	313174.4;	0.0;	10.666666666666668;	8.733333333333333;	4.466666666666667
1376333147;	4;	10399.998664;	256.5333003786667;	2.466666666666667;	1.6703488E7;	1029001.6;	0.0;	11.399999999999999;	27.733333333333334;	29.733333333333334
1376333447;	4;	10399.998664;	223.599971276;	2.15;	1.6703488E7;	805305.6;	0.0;	11.0;	8.666666666666666;	4.4
1376333747;	4;	10399.998664;	214.93330572266666;	2.0666666666666664;	1.6703488E7;	447392.0;	0.0;	10.466666666666667;	8.666666666666666;	4.266666666666667
1376334047;	4;	10399.998664;	216.66663883333334;	2.0833333333333335;	1.6703488E7;	425022.4;	0.0;	10.733333333333334;	8.733333333333333;	4.333333333333333
1376334347;	4;	10399.998664;	240.93330238266665;	2.3166666666666664;	1.6703488E7;	760566.4;	0.0;	11.266666666666666;	8.933333333333334;	4.466666666666667
1376334647;	4;	10399.998664;	223.599971276;	2.15;	1.6703488E7;	536870.4;	0.0;	11.4;	8.8;	4.533333333333333
1376334947;	4;	10399.998664;	235.73330305066668;	2.2666666666666666;	1.6703488E7;	603979.2;	0.0;	10.866666666666667;	8.8;	4.266666666666667
1376335247;	4;	10399.998664;	240.93330238266665;	2.3166666666666664;	1.6703488E7;	402652.8;	0.0;	16.0;	8.666666666666666;	4.266666666666667
1376335547;	4;	10399.998664;	216.66663883333334;	2.0833333333333335;	1.6703488E7;	570424.8;	0.0;	10.266666666666666;	8.666666666666666;	4.266666666666667
1376335847;	4;	10399.998664;	216.66663883333334;	2.0833333333333335;	1.6703488E7;	369098.4;	0.0;	10.8;	8.866666666666667;	4.333333333333333
1376336147;	4;	10399.998664;	218.39997194400001;	2.1;	1.6703488E7;	346728.8;	0.0;	10.533333333333333;	8.666666666666666;	4.333333333333333
1376336447;	4;	10399.998664;	216.66663883333334;	2.0833333333333335;	1.6703488E7;	369098.4;	0.0;	10.8;	8.6;	4.4
1376336747;	4;	10399.998664;	211.46663950133333;	2.033333333333333;	1.6703488E7;	268435.2;	0.0;	10.266666666666666;	8.733333333333333;	4.266666666666667
1376337047;	4;	10399.998664;	220.13330505466666;	2.1166666666666667;	1.6703488E7;	313174.4;	0.0;	10.666666666666666;	8.666666666666666;	4.333333333333333
1376337347;	4;	10399.998664;	218.39997194400001;	2.1;	1.6703488E7;	492131.2;	0.0;	10.466666666666667;	8.8;	4.4
1376337647;	4;	10399.998664;	216.66663883333334;	2.0833333333333335;	1.6703488E7;	480946.4;	0.0;	10.6;	8.866666666666667;	4.333333333333333
1376337947;	4;	10399.998664;	256.5333003786667;	2.466666666666667;	1.6703488E7;	1275067.2;	0.0;	16.133333333333333;	9.0;	4.466666666666667
1376338248;	4;	10399.998664;	220.13330505466666;	2.1166666666666667;	1.6703488E7;	973077.6;	0.0;	11.666666666666666;	8.866666666666667;	4.2
1376338548;	4;	10399.998664;	223.599971276;	2.15;	1.6703488E7;	570424.8;	0.0;	10.399999999999999;	8.8;	4.4
1376338848;	4;	10399.998664;	237.46663616133333;	2.283333333333333;	1.6703488E7;	738196.8;	0.0;	16.066666666666666;	8.866666666666667;	4.266666666666667
1376339148;	4;	10399.998664;	220.13330505466666;	2.1166666666666667;	1.6703488E7;	536870.4;	0.0;	10.399999999999999;	8.733333333333333;	4.333333333333333
1376339448;	4;	10399.998664;	216.66663883333334;	2.0833333333333335;	1.6703488E7;	335544.0;	0.0;	10.466666666666667;	8.8;	4.333333333333333
1376339748;	4;	10399.998664;	216.66663883333334;	2.0833333333333335;	1.6703488E7;	268435.2;	0.0;	10.600000000000001;	8.866666666666667;	4.333333333333333
