Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1377694684;	0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0
1377694984;	0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0
1377695284;	0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0
1377695584;	0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0
1377695884;	0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0
1377696184;	0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0
1377696484;	0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0
1377696785;	0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0
1377697085;	0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0
1377697385;	0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0
1377697685;	2;	5199.999298;	0.0;	0.0;	629760.0;	6291456.0;	3696.0;	88.0;	0.0;	0.0
1377697985;	2;	5199.999298;	1929.199739558;	37.1;	1777589.8666666667;	5329561.6;	862.1333333333333;	5597.400000000001;	793.3333333333334;	17.133333333333333
1377698285;	2;	5199.999298;	1929.199739558;	37.1;	2596181.3333333335;	3131744.4444444445;	862.1333333333333;	5597.400000000001;	244.77777777777777;	14.333333333333334
1377698585;	2;	5199.999298;	1929.199739558;	37.1;	2596181.3333333335;	3131744.4444444445;	862.1333333333333;	5597.400000000001;	244.77777777777777;	14.333333333333334
