Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1376314846;	8;	20799.995016;	14658.796487526;	70.475;	4.0756776E7;	1.71127592E7;	0.0;	0.9333333333333333;	3.8;	5.066666666666666
1376315146;	8;	20799.995016;	11627.197213944;	55.9;	4.0756776E7;	9646896.8;	0.0;	1.0;	1.2666666666666666;	2.3333333333333335
1376315446;	8;	20799.995016;	9046.264499042001;	43.49166666666667;	4.0756776E7;	5284821.6;	0.0;	1.2;	0.0;	1.0
1376315746;	8;	20799.995016;	9051.464497796002;	43.51666666666667;	4.0756776E7;	2852124.8;	0.0;	0.8666666666666667;	0.0;	1.0
1376316046;	8;	20799.995016;	9037.597834452;	43.45;	4.0756776E7;	1873453.6;	0.0;	1.0;	1.2666666666666666;	2.3333333333333335
1376316346;	8;	20799.995016;	6187.99851726;	29.75;	4.0756776E7;	4194302.4;	0.0;	8.533333333333333;	1.5333333333333334;	2.466666666666667
1376316646;	8;	20799.995016;	2021.066182388;	9.716666666666667;	4.0756776E7;	5312783.733333333;	0.0;	1.4666666666666666;	1.2666666666666666;	2.3333333333333335
1376316946;	8;	20799.995016;	103.99997508;	0.5;	4.0756776E7;	3690985.6;	0.0;	1.2666666666666666;	0.0;	1.0
1376317246;	8;	20799.995016;	9893.864295944;	47.56666666666667;	4.0756776E7;	5452593.066666666;	2.6666666666666665;	1.8;	749.6;	11.933333333333334
1376317546;	8;	20799.995016;	14003.596644522;	67.325;	4.0756776E7;	1.71966456E7;	0.0;	1.1333333333333333;	5.0;	6.333333333333333
1376317846;	8;	20799.995016;	9063.597828222;	43.575;	4.0756776E7;	8752112.0;	0.0;	0.8666666666666667;	0.0;	1.0
1376318146;	8;	20799.995016;	9068.797826976;	43.6;	4.0756776E7;	3607099.2;	0.0;	1.4;	0.0;	1.0
1376318446;	8;	20799.995016;	9067.064494058;	43.59166666666667;	4.0756776E7;	1789568.5333333334;	0.0;	1.6;	0.06666666666666667;	1.0666666666666667
1376318746;	8;	20799.995016;	5659.3319772700015;	27.208333333333336;	4.0756776E7;	4557809.6;	0.0;	1.0666666666666667;	2.533333333333333;	3.6666666666666665
1376319046;	8;	20799.995016;	1357.1996747940002;	6.525;	4.0756776E7;	6207569.066666666;	0.0;	1.3333333333333333;	1.2666666666666666;	2.3333333333333335
1376319346;	8;	20799.995016;	13835.463351475999;	66.51666666666667;	4.0756776E7;	8220833.6;	2.6;	2.066666666666667;	775.8666666666667;	11.0
1376319646;	8;	20799.995016;	16386.929406772;	78.78333333333333;	4.0756776E7;	1.6413707466666667E7;	0.0;	1.0;	6.266666666666667;	6.333333333333333
1376319946;	8;	20799.995016;	12037.997115510001;	57.875;	4.0756776E7;	1.0373911466666667E7;	0.2;	2.8;	0.0;	1.0
1376320246;	8;	20799.995016;	10661.730778618;	51.25833333333333;	4.0756776E7;	5844061.6;	0.0;	1.0;	67.26666666666667;	78.06666666666666
1376320546;	8;	20799.995016;	5499.865348814001;	26.441666666666666;	4.0756776E7;	7689555.733333333;	0.0;	1.0;	1.2666666666666666;	2.3333333333333335
1376320846;	8;	20799.995016;	3087.065926958;	14.841666666666667;	4.0756776E7;	4501885.066666666;	0.0;	1.0;	0.0;	1.0
1376321146;	8;	20799.995016;	3088.799259876;	14.85;	4.0756776E7;	1649757.6;	0.0;	1.2;	0.0;	1.0
1376321446;	8;	20799.995016;	1466.399648628;	7.05;	4.0756776E7;	2936010.4;	0.0;	1.3333333333333333;	1.2666666666666666;	2.3333333333333335
1376321746;	8;	20799.995016;	103.99997508;	0.5;	4.0756776E7;	1733643.4666666666;	0.0;	1.1333333333333333;	0.06666666666666667;	1.0
1376322046;	8;	20799.995016;	103.99997508;	0.5;	4.0756776E7;	55923.73333333333;	0.0;	0.9333333333333333;	0.0;	1.0
1376322346;	8;	20799.995016;	138.66663344000003;	0.6666666666666667;	4.0756776E7;	0.0;	124.46666666666667;	14.8;	0.6;	1.6
1376322647;	8;	20799.995016;	11410.530599193999;	54.85833333333333;	4.0756776E7;	6459227.2;	2.6666666666666665;	8.666666666666666;	439.6666666666667;	10.266666666666667
1376322947;	8;	20799.995016;	15385.062980168;	73.96666666666667;	4.0756776E7;	1.4959681866666667E7;	31.333333333333332;	3.4;	2.533333333333333;	3.7333333333333334
1376323247;	8;	20799.995016;	12003.33045715;	57.70833333333333;	4.0756776E7;	8584340.8;	0.0;	1.0;	0.0;	1.0
1376323547;	8;	20799.995016;	12010.263788822;	57.74166666666667;	4.0756776E7;	3774871.466666667;	0.06666666666666667;	2.7333333333333334;	0.0;	1.0
