Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1376314846;	4;	10399.999648;	1662.2666104053333;	15.983333333333333;	1.6777216E7;	2516580.0;	1178.6666666666667;	1506.0;	1721.1333333333334;	1752.2
1376315146;	4;	10399.999648;	2818.3999046080007;	27.1;	1.6777216E7;	3433734.4;	2395.9333333333334;	2640.2000000000003;	2285.133333333333;	2219.2
1376315446;	4;	10399.999648;	2504.666581893334;	24.083333333333336;	1.6777216E7;	1756013.6;	3586.866666666667;	3628.4666666666667;	2352.133333333333;	2286.266666666667
1376315746;	4;	10399.999648;	3144.266560245334;	30.233333333333334;	1.6777216E7;	3411366.1333333333;	3625.133333333333;	6007.733333333334;	2357.133333333333;	2370.6666666666665
1376316046;	4;	10399.999648;	2570.5332463306668;	24.716666666666665;	1.6777216E7;	2673167.7333333334;	3883.733333333333;	4219.866666666667;	2409.733333333333;	2732.4
1376316346;	4;	10399.999648;	3140.7998936960003;	30.2;	1.6777216E7;	2583688.8;	3621.8;	4249.933333333333;	2516.0666666666666;	2302.3333333333335
1376316646;	4;	10399.999648;	2317.4665882293334;	22.283333333333335;	1.6777216E7;	1912600.8;	908.1333333333333;	1243.7333333333333;	2584.133333333333;	2349.266666666667
1376316946;	4;	10399.999648;	3024.666564293334;	29.083333333333336;	1.6777216E7;	2415916.8;	2716.2;	2431.2;	2422.4666666666667;	2365.866666666667
1376317246;	4;	10399.999648;	2376.3999195680003;	22.85;	1.6777216E7;	2158666.4;	3637.6;	4175.8;	2167.4666666666667;	2248.4
1376317546;	4;	10399.999648;	3019.466564469334;	29.033333333333335;	1.6777216E7;	4093639.466666667;	1017.4666666666667;	3476.3333333333335;	2468.3333333333335;	2458.133333333333
1376317846;	4;	10399.999648;	2241.1999241440003;	21.55;	1.6777216E7;	3053451.2;	263.6666666666667;	18.533333333333335;	2451.733333333333;	2532.6666666666665
1376318146;	4;	10399.999648;	2813.1999047840004;	27.05;	1.6777216E7;	3053450.4;	144.79999999999998;	631.4666666666666;	2030.7333333333333;	1988.8
1376318446;	4;	10399.999648;	1856.3999371680004;	17.85;	1.6777216E7;	2382362.4;	4.133333333333334;	44.266666666666666;	1826.6666666666667;	2025.8
1376318746;	4;	10399.999648;	2582.666579253334;	24.833333333333336;	1.6777216E7;	3019896.0;	177.2;	617.6666666666666;	1704.7333333333333;	1953.8666666666666
1376319046;	4;	10399.999648;	1806.1332722026668;	17.366666666666667;	1.6777216E7;	2136296.8;	2.533333333333333;	30.266666666666666;	1721.5333333333333;	2192.266666666667
1376319346;	4;	10399.999648;	2714.399908128;	26.1;	1.6777216E7;	3512028.8;	3743.7999999999997;	6582.599999999999;	1786.6666666666667;	2056.8
1376319646;	4;	10399.999648;	1747.1999408640002;	16.8;	1.6777216E7;	3534397.6;	298.06666666666666;	6.533333333333333;	1792.0;	2190.5333333333333
1376319946;	4;	10399.999648;	2225.5999246720003;	21.4;	1.6777216E7;	3265961.6;	2.533333333333333;	638.8666666666666;	1753.4;	1915.0666666666666
1376320246;	4;	10399.999648;	1700.3999424480003;	16.35;	1.6777216E7;	1800752.8;	5.0;	31.733333333333334;	1747.3333333333333;	1933.3333333333333
1376320546;	4;	10399.999648;	2149.3332605866667;	20.666666666666664;	1.6777216E7;	2550134.4;	4.333333333333333;	591.0;	1696.6;	2173.733333333333
1376320846;	4;	10399.999648;	1683.0666097013336;	16.183333333333334;	1.6777216E7;	2326438.4;	4.2;	582.4;	1689.1333333333334;	2102.866666666667
1376321146;	4;	10399.999648;	2743.866573797334;	26.383333333333336;	1.6777216E7;	3031081.8666666667;	3765.8;	6420.866666666667;	1807.2666666666667;	1788.6666666666667
1376321446;	4;	10399.999648;	1762.799940336;	16.95;	1.6777216E7;	3635061.3333333335;	300.2;	33.46666666666667;	1791.5333333333333;	2250.2
1376321746;	4;	10399.999648;	2428.3999178080003;	23.35;	1.6777216E7;	3165298.4;	2.066666666666667;	628.4666666666666;	2049.4;	2189.866666666667
1376322046;	4;	10399.999648;	1728.1332748426669;	16.616666666666667;	1.6777216E7;	2292884.0;	2.3333333333333335;	32.93333333333334;	1737.2;	2065.2
