Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1376314846;	8;	19199.997432;	4156.799444028;	21.65;	3129344.0;	1543501.6;	11493.466666666667;	2036.8666666666668;	355.8;	192.26666666666668
1376315146;	8;	19199.997432;	3295.99955916;	17.166666666666668;	3129344.0;	1577056.0;	5150.133333333333;	2438.7333333333336;	346.93333333333334;	185.73333333333332
1376315446;	8;	19199.997432;	4195.199438892;	21.85;	3129344.0;	1744828.0;	11121.2;	2080.866666666667;	352.4;	188.6
1376315746;	8;	19199.997432;	3278.3995615139997;	17.075;	3129344.0;	1644164.8;	3380.3333333333335;	2280.2666666666664;	352.8666666666667;	188.86666666666667
1376316046;	8;	19199.997432;	2836.7996205780005;	14.775;	3129344.0;	1140848.0;	105.26666666666668;	2179.6;	356.6;	191.26666666666668
1376316346;	8;	19199.997432;	4239.9994329;	22.083333333333336;	3129344.0;	1308620.8;	572.8000000000001;	2530.866666666667;	454.26666666666665;	243.06666666666666
1376316646;	8;	19199.997432;	9750.398695884;	50.78333333333333;	3129344.0;	1414875.7333333334;	124.0;	2316.6666666666665;	644.2;	466.93333333333334
1376316946;	8;	19199.997432;	4020.799462218;	20.941666666666666;	3129344.0;	1728050.4;	37.599999999999994;	2139.6666666666665;	387.8666666666667;	233.53333333333333
1376317246;	8;	19199.997432;	2841.599619936;	14.8;	3129344.0;	1325397.6;	18.53333333333333;	2216.266666666667;	369.1333333333333;	197.73333333333332
1376317546;	8;	19199.997432;	2716.7996366280004;	14.15;	3129344.0;	1191180.0;	9.933333333333334;	2160.4666666666667;	369.93333333333334;	188.6
1376317846;	8;	19199.997432;	2881.599614586;	15.008333333333333;	3129344.0;	1275066.1333333333;	34.53333333333333;	2182.266666666667;	374.8666666666667;	193.73333333333332
1376318146;	8;	19199.997432;	3001.599598536;	15.633333333333333;	3129344.0;	1532316.8;	136.46666666666664;	2366.733333333333;	356.8;	191.06666666666666
1376318446;	8;	19199.997432;	3135.99958056;	16.333333333333332;	3129344.0;	1168811.2;	28.599999999999994;	2213.4;	352.73333333333335;	193.4
1376318746;	8;	19199.997432;	2844.7996195080004;	14.816666666666668;	3129344.0;	1012222.9333333333;	1.4666666666666666;	2124.6;	344.46666666666664;	185.13333333333333
1376319046;	8;	19199.997432;	2915.1996100919996;	15.183333333333332;	3129344.0;	1001039.2;	1.9333333333333331;	2187.133333333333;	349.46666666666664;	190.4
1376319346;	8;	19199.997432;	2727.99963513;	14.208333333333332;	3129344.0;	1112886.9333333333;	20.666666666666668;	2170.9333333333334;	351.6;	191.6
1376319646;	8;	19199.997432;	2884.799614158;	15.025;	3129344.0;	1034592.8;	1.3333333333333335;	2159.0;	351.6666666666667;	188.6
1376319946;	8;	19199.997432;	3382.399547604;	17.616666666666667;	3129344.0;	1179995.2;	43.400000000000006;	2303.6000000000004;	425.3333333333333;	226.06666666666666
1376320246;	8;	19199.997432;	4835.199353292;	25.183333333333334;	3129344.0;	1722457.8666666667;	24.466666666666665;	2224.0666666666666;	517.6666666666666;	355.93333333333334
1376320546;	8;	19199.997432;	3217.599569646;	16.758333333333333;	3129344.0;	1454023.2;	1.2;	2130.7333333333336;	351.26666666666665;	190.53333333333333
1376320846;	8;	19199.997432;	3201.599571786;	16.675;	3129344.0;	1286250.4;	4.333333333333334;	2199.9333333333334;	353.8;	194.4
1376321146;	8;	19199.997432;	2846.399619294;	14.825;	3129344.0;	1219141.6;	6.2666666666666675;	2154.0;	350.06666666666666;	192.53333333333333
1376321446;	8;	19199.997432;	3281.599561086;	17.09166666666667;	3129344.0;	1152033.3333333333;	10.4;	2195.6;	361.8;	210.46666666666667
1376321746;	8;	19199.997432;	2740.799633418;	14.275;	3129344.0;	1124070.4;	5.2666666666666675;	2318.9333333333334;	342.1333333333333;	192.13333333333333
1376322046;	8;	19199.997432;	2799.9996255;	14.583333333333332;	3129344.0;	1263881.6;	2.0;	2207.733333333333;	346.6;	192.33333333333334
1376322346;	8;	19199.997432;	2734.3996342739997;	14.241666666666667;	3129344.0;	1140848.8;	0.06666666666666667;	2127.733333333333;	344.8;	203.66666666666666
1376322647;	8;	19199.997432;	2868.7996162980003;	14.941666666666668;	3129344.0;	1029001.0666666667;	1.0666666666666667;	2179.0;	359.6;	220.4
1376322947;	8;	19199.997432;	2801.599625286;	14.591666666666667;	3129344.0;	989853.3333333334;	0.5333333333333333;	2143.6;	349.2;	217.06666666666666
1376323247;	8;	19199.997432;	2935.99960731;	15.291666666666668;	3129344.0;	1135256.5333333334;	14.0;	2150.0;	359.6;	219.86666666666667
1376323547;	8;	19199.997432;	2982.399601104;	15.533333333333333;	3129344.0;	1101701.6;	211.86666666666667;	2509.6666666666665;	430.3333333333333;	248.13333333333333
1376323847;	8;	19199.997432;	4588.799386248;	23.9;	3129344.0;	1286250.9333333333;	133.53333333333333;	2275.866666666667;	514.2666666666667;	368.46666666666664
1376324147;	8;	19199.997432;	2735.99963406;	14.25;	3129344.0;	1263881.8666666667;	74.19999999999999;	2133.0666666666666;	343.3333333333333;	188.66666666666666
1376324447;	8;	19199.997432;	2590.399653534;	13.491666666666667;	3129344.0;	1179995.7333333334;	8.466666666666667;	2214.3333333333335;	349.46666666666664;	186.53333333333333
1376324747;	8;	19199.997432;	2443.199673222;	12.725;	3129344.0;	1056963.2;	7.866666666666666;	2144.5333333333333;	338.46666666666664;	182.93333333333334
1376325047;	8;	19199.997432;	2579.199655032;	13.433333333333332;	3129344.0;	905966.9333333333;	16.46666666666667;	2173.5333333333333;	350.2;	188.86666666666667
1376325347;	8;	19199.997432;	2462.3996706539997;	12.825;	3129344.0;	1006631.2;	10.0;	2327.0;	339.2;	179.2
1376325647;	8;	19199.997432;	2687.99964048;	14.0;	3129344.0;	1191180.8;	4.199999999999999;	2208.866666666667;	350.6666666666667;	186.46666666666667
1376325947;	8;	19199.997432;	2577.599655246;	13.425;	3129344.0;	939522.4;	0.8666666666666667;	2122.6666666666665;	338.1333333333333;	178.73333333333332
1376326247;	8;	19199.997432;	2615.99965011;	13.625;	3129344.0;	1140848.5333333334;	0.8;	2161.8;	347.1333333333333;	183.66666666666666
1376326547;	8;	19199.997432;	2435.199674292;	12.683333333333332;	3129344.0;	950707.7333333333;	12.466666666666667;	2152.933333333333;	343.1333333333333;	180.8
1376326847;	8;	19199.997432;	2553.599658456;	13.3;	3129344.0;	995446.6666666666;	0.6000000000000001;	2164.6;	348.8;	188.26666666666668
1376327147;	8;	19199.997432;	2727.99963513;	14.208333333333332;	3129344.0;	939522.1333333333;	14.6;	2315.2;	415.6666666666667;	210.86666666666667
1376327447;	8;	19199.997432;	4086.3994534440003;	21.283333333333335;	3129344.0;	1023408.5333333333;	0.2;	2195.266666666667;	513.3333333333334;	342.6666666666667
1376327747;	8;	19199.997432;	2484.799667658;	12.941666666666668;	3129344.0;	989853.8666666667;	0.13333333333333333;	2132.7999999999997;	344.93333333333334;	182.0
