Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1376314846;	4;	10799.995588;	134.99994485;	1.25;	1.6777216E7;	89478.4;	0.0;	2.8666666666666667;	0.0;	0.0
1376315146;	4;	10799.995588;	138.59994337933335;	1.2833333333333334;	1.6777216E7;	0.0;	0.0;	3.066666666666667;	0.0;	0.0
1376315446;	4;	10799.995588;	136.79994411466666;	1.2666666666666666;	1.6777216E7;	0.0;	0.0;	2.8666666666666667;	0.0;	0.0
1376315746;	4;	10799.995588;	271.79988896466665;	2.5166666666666666;	1.6777216E7;	11184.8;	0.0;	2.933333333333333;	0.0;	0.0
1376316046;	4;	10799.995588;	181.7999257313333;	1.6833333333333333;	1.6777216E7;	22369.6;	0.0;	3.4;	0.0;	0.0
1376316346;	4;	10799.995588;	161.99993382;	1.5;	1.6777216E7;	0.0;	0.0;	3.066666666666667;	0.0;	0.0
1376316646;	4;	10799.995588;	185.39992426066667;	1.7166666666666666;	1.6777216E7;	0.0;	0.0;	3.0;	0.0;	0.0
1376316946;	4;	10799.995588;	174.59992867266664;	1.6166666666666665;	1.6777216E7;	78293.6;	0.0;	3.2666666666666666;	0.0;	0.0
1376317246;	4;	10799.995588;	167.39993161400002;	1.55;	1.6777216E7;	100663.2;	0.0;	4.133333333333334;	0.06666666666666667;	0.06666666666666667
1376317546;	4;	10799.995588;	161.99993382;	1.5;	1.6777216E7;	0.0;	0.0;	3.3333333333333335;	0.0;	0.0
1376317846;	4;	10799.995588;	161.99993382;	1.5;	1.6777216E7;	190141.6;	0.0;	3.1333333333333333;	0.0;	0.0
1376318146;	4;	10799.995588;	161.99993382;	1.5;	1.6777216E7;	268435.2;	0.0;	2.933333333333333;	0.0;	0.0
1376318446;	4;	10799.995588;	161.99993382;	1.5;	1.6777216E7;	67108.8;	0.0;	2.933333333333333;	0.0;	0.0
1376318746;	4;	10799.995588;	161.99993382;	1.5;	1.6777216E7;	0.0;	0.0;	3.1333333333333333;	0.0;	0.0
1376319046;	4;	10799.995588;	161.99993382;	1.5;	1.6777216E7;	67108.8;	0.0;	2.933333333333333;	0.0;	0.0
1376319346;	4;	10799.995588;	723.599704396;	6.7;	1.6777216E7;	279620.0;	166.53333333333333;	21.0;	4.0;	7.466666666666667
1376319646;	4;	10799.995588;	192.59992131933333;	1.7833333333333334;	1.6777216E7;	637533.6;	0.0;	17.0;	19.866666666666667;	22.0
1376319946;	4;	10799.995588;	253.79989631799998;	2.35;	1.6777216E7;	738196.8;	32.93333333333333;	19.2;	25.533333333333335;	45.2
1376320246;	4;	10799.995588;	160.19993455533333;	1.4833333333333334;	1.6777216E7;	145402.4;	0.0;	3.3333333333333335;	0.0;	0.0
1376320546;	4;	10799.995588;	156.599936026;	1.45;	1.6777216E7;	33554.4;	0.0;	3.1333333333333333;	0.0;	0.0
1376320846;	4;	10799.995588;	160.19993455533333;	1.4833333333333334;	1.6777216E7;	0.0;	0.0;	3.4;	0.0;	0.0
1376321146;	4;	10799.995588;	152.99993749666663;	1.4166666666666665;	1.6777216E7;	67108.8;	0.0;	2.933333333333333;	0.0;	0.0
1376321446;	4;	10799.995588;	156.599936026;	1.45;	1.6777216E7;	0.0;	0.0;	2.933333333333333;	0.0;	0.0
1376321746;	4;	10799.995588;	149.39993896733336;	1.3833333333333335;	1.6777216E7;	0.0;	0.0;	3.1333333333333333;	0.0;	0.0
1376322046;	4;	10799.995588;	156.599936026;	1.45;	1.6777216E7;	0.0;	0.0;	2.933333333333333;	0.0;	0.0
1376322346;	4;	10799.995588;	161.99993382;	1.5;	1.6777216E7;	0.0;	0.0;	2.933333333333333;	0.06666666666666667;	0.0
1376322647;	4;	10799.995588;	158.39993529066666;	1.4666666666666666;	1.6777216E7;	0.0;	0.0;	3.1333333333333333;	0.0;	0.0
1376322947;	4;	10799.995588;	152.99993749666663;	1.4166666666666665;	1.6777216E7;	0.0;	0.0;	2.933333333333333;	0.0;	0.0
1376323247;	4;	10799.995588;	151.199938232;	1.4;	1.6777216E7;	33554.4;	0.0;	2.933333333333333;	0.0;	0.0
1376323547;	4;	10799.995588;	152.99993749666663;	1.4166666666666665;	1.6777216E7;	0.0;	9.6;	7.2;	0.06666666666666667;	0.13333333333333333
1376323847;	4;	10799.995588;	145.79994043800002;	1.35;	1.6777216E7;	0.0;	0.0;	3.933333333333333;	0.0;	0.0
1376324147;	4;	10799.995588;	152.99993749666663;	1.4166666666666665;	1.6777216E7;	0.0;	0.0;	3.1333333333333333;	0.0;	0.0
1376324447;	4;	10799.995588;	151.199938232;	1.4;	1.6777216E7;	0.0;	0.0;	2.8666666666666667;	0.0;	0.0
1376324747;	4;	10799.995588;	154.79993676133333;	1.4333333333333333;	1.6777216E7;	78293.6;	0.0;	2.933333333333333;	0.0;	0.0
1376325047;	4;	10799.995588;	178.199927202;	1.65;	1.6777216E7;	44739.2;	0.0;	4.133333333333334;	0.4666666666666667;	0.06666666666666667
1376325347;	4;	10799.995588;	986.3995970373333;	9.133333333333333;	1.6777216E7;	816490.4;	160.0;	10.799999999999999;	109.06666666666666;	83.66666666666667
1376325647;	4;	10799.995588;	158.39993529066666;	1.4666666666666666;	1.6777216E7;	615164.0;	0.0;	3.4;	0.0;	0.0
1376325947;	4;	10799.995588;	158.39993529066666;	1.4666666666666666;	1.6777216E7;	145402.4;	0.0;	2.933333333333333;	0.0;	0.0
1376326247;	4;	10799.995588;	151.199938232;	1.4;	1.6777216E7;	33554.4;	0.0;	3.0;	0.0;	0.0
1376326547;	4;	10799.995588;	156.599936026;	1.45;	1.6777216E7;	67108.8;	0.0;	3.2666666666666666;	0.0;	0.0
1376326847;	4;	10799.995588;	223.19990881866661;	2.0666666666666664;	1.6777216E7;	89478.4;	0.0;	5.266666666666667;	2.8;	0.4
1376327147;	4;	10799.995588;	4098.598325646;	37.95;	1.6777216E7;	1084925.6;	48485.163636363635;	45.0;	538.6666666666666;	11592.466666666667
